compositeRoomReqInd,connectingRoomReqInd,crsConfirmationId,crsContStayLinkId,crsShareLinkId,groupId,pmsConfirmationId,resUpgradeScore,roomAssignedByAraInd,roomUpgradedByAraInd,araProcessedTs,@arrivalDate,@arrivalTime,@complimentaryUpgraded,@dateSearchString,@departureDate,@departureTime,@doNotMoveInd,@dtArrivalDate,@dtDepartureDate,@finalInventoryTypeCode,@id,@inventoryTypeCode,@miosUpgraded,@roomId,@sNAUpgraded,@upgradedInventoryTypeCode,@upgradeScore
0,0,202408072001,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,21:00,0,,2024-09-11,,0,8/22/2024,8/24/2024,KING,1,KING,0,,0,,0
0,0,202408072001,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,21:00,0,,2024-09-11,,0,8/22/2024,8/24/2024,KING,1,KING,0,,0,,0
0,0,HWHOSKW42O,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,21:00,0,,2024-09-11,,0,,,,1,KING,0,,0,,0
0,0,EGPSIKV50K,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,21:00,0,,2024-09-11,,0,,,,1,KING,0,,0,,0
0,0,BZTXVRK52F,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,22:00,0,,2024-09-11,,0,,,,1,KING,0,,0,,0
0,0,IQJICVT78I,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,17:00,0,,2024-09-11,,0,,,,1,KING,0,,0,,0
0,0,QKMLNNJ92A,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,16:45,0,,2024-09-12,,0,,,,1,KING,0,,0,,0
0,0,QMSUKGZ64K,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,18:35,0,,2024-09-12,,0,,,,1,KING,0,,0,,0
0,0,LCAVKRJ36E,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,22:32,0,,2024-09-12,,0,,,,1,KING,0,,0,,0
0,0,MNTTKCX76F,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-12,,0,,,,1,KING,0,,0,,0
0,0,DGTRZAJ27G,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-13,,0,,,,1,KING,0,,0,,0
0,0,VSJLOIZ94O,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-13,,0,,,,1,KING,0,,0,,0
0,0,AMHGSPB43J,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-13,,0,,,,1,KING,0,,0,,0
0,0,QHGBDVN99Y,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-13,,0,,,,1,KING,0,,0,,0
0,0,ERPWMOV78B,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-24,,0,,,,1,KING,0,,0,,0
0,0,CSIIXMK46C,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-24,,0,,,,1,KING,0,,0,,0
0,0,FWPXTZC68K,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-24,,0,,,,1,KING,0,,0,,0
0,0,QKQUJKF83K,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-24,,0,,,,1,KING,0,,0,,0
0,0,HPSLOFZ78X,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-25,,0,,,,1,KING,0,,0,,0
0,0,WATFXXQ28L,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-25,,0,,,,1,KING,0,,0,,0
0,0,WJZWONM30O,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-25,,0,,,,1,KING,0,,0,,0
0,0,SHSXWHZ43C,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-25,,0,,,,1,KING,0,,0,,0
0,0,ECWTZYV20H,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-10-01,,0,,,,1,KING,0,,0,,0
0,0,PHDXUFJ56V,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-10-01,,0,,,,1,QNQN,0,,0,,0
0,0,MWMAGEI86G,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-10-01,,0,,,,1,QNQN,0,,0,,0
0,0,MOWOJAQ29U,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-10-01,,0,,,,1,QNQN,0,,0,,0
0,0,ZSFOWWV62X,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-30,,0,,,,1,QNQN,0,,0,,0
0,0,DHHFJVD24V,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-30,,0,,,,1,QNQN,0,,0,,0
0,0,LIWMALN88L,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-29,,0,,,,1,QNQN,0,,0,,0
0,0,VMMKTQF73N,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-10,,0,,2024-09-29,,0,,,,1,QNQN,0,,0,,0
0,0,CFDEPZU84E,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:22,0,,2024-09-12,,0,,,,1,QNQN,0,,0,,0
0,0,MWUBIAN34V,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:21,0,,2024-09-12,,0,,,,1,QNQN,0,,0,,0
0,0,MVIKMFW51L,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:20,0,,2024-09-13,,0,,,,1,QNQN,0,,0,,0
0,0,WTRJYSY57I,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:19,0,,2024-09-13,,0,,,,1,QNQN,0,,0,,0
0,0,PNSUZGV51J,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:18,0,,2024-09-14,,0,,,,1,QNQN,0,,0,,0
0,0,CTZYJFF77X,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:17,0,,2024-09-14,,0,,,,1,QNQN,0,,0,,0
0,0,WNPJPYC25M,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:16,0,,2024-09-12,,0,,,,1,QNQN,0,,0,,0
0,0,QJYYPYG57U,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:15,0,,2024-09-26,,0,,,,1,QNQN,0,,0,,0
0,0,PDPWJBR28S,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:14,0,,2024-09-26,,0,,,,1,QNQN,0,,0,,0
0,0,OFUWKCU66I,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-12,20:13,0,,2024-09-27,,0,,,,1,QNQN,0,,0,,0
0,0,VNNWWSM56H,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:12,0,,2024-10-02,,0,,,,1,QNQN,0,,0,,0
0,0,EHMOSOK43A,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:11,0,,2024-09-30,,0,,,,1,QNQN,0,,0,,0
0,0,PRVWFNK18O,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-12,20:10,0,,2024-09-14,,0,,,,1,QNQN,0,,0,,0
0,0,GKGFAUV50V,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-12,20:09,0,,2024-09-15,,0,,,,1,QNQN,0,,0,,0
0,0,QSXYKLF37R,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:08,0,,2024-09-25,,0,,,,1,QNQN,0,,0,,0
0,0,JHLSECK41P,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:07,0,,2024-09-25,,0,,,,1,ONBR,0,,0,,0
0,0,TLDZPML72R,,,,,1234.4,0,0,2024-07-26T16:45:36.778210266,2024-09-11,20:06,0,,2024-09-25,,0,,,,1,ONBR,0,,0,,0
