Timezone,properties,num_properties
0,HAAZX([23  0  1]) & XPHKZ([23  0  1]) & VAQSC([23  0  1]) & UUILE([23  0  1]) & ,4
1,GFPYG([1  2  3]) & GEPYK([1  2  3]) & DEHJE([0  1  2]) & ,3
2,UYLHR([2  3  4]) & ,1
3,PMQNV([2  3  4]) & WGXAF([1  2  3]) & ,2
4,WAZGP([2  3  4]) & WECDR([4  5  6]) & ,2
5,IMOUP([5  6  7]) & CHZFZ([4  5  6]) & ,2
6,,0
7,EIWRW([7  8  9]) & BXLWL([5  6  7]) & ,2
8,HPPHG([7  8  9]) & ,1
9,LVAFX([8  9  10]) & UFSJK([9  10  11]) & SEKGK([8  9  10]) & ,3
10,CCXJM([10  11  12]) & SMIGN([9  10  11]) & ,2
11,PZDWX([10  11  12]) & ZYAMV([11  12  13]) & ,2
12,QNKOV([11  12  13]) & QNXKZ([12  13  14]) & HPTIF([11  12  13]) & ,3
13,,0
14,TEWVB([12  13  14]) & ,1
15,TGRSN([15  16  17]) & PJTVA([13  14  15]) & ,2
16,XGVXI([15  16  17]) & MXXTO([16  17  18]) & ,2
17,USVFV([17  18  19]) & ,1
18,BDCSM([18  19  20]) & FDUHH([18  19  20]) & SLYVL([16  17  18]) & RSVGR([17  18  19]) & ,4
19,FNNXD([17  18  19]) & UHFQA([18  19  20]) & ,2
20,LNXDT([18  19  20]) & JHVVT([19  20  21]) & LIBLS([20  21  22]) & ,3
21,XXZYB([19  20  21]) & ,1
22,JUXCE([20  21  22]) & ADXFJ([20  21  22]) & ,2
23,RNQVC([21  22  23]) & SLNNQ([22  23  0]) & LDMPK([21  22  23]) & WGGUK([22  23  0]) & WOWMS([22  23  0]) & ,5
