,transaction_time__avg min between sent tnx,transaction_time__avg min between received tnx,transaction_time__time diff between first and last (mins),number_of_transactions__sent tnx,number_of_transactions__received tnx,number_of_transactions__number of created contracts,number_of_transactions__unique received from addresses,number_of_transactions__unique sent to addresses,ether_value__min value received,ether_value__max value received,ether_value__avg val received,ether_value__min val sent,ether_value__max val sent,ether_value__avg val sent,ether_value__min value sent to contract,ether_value__max val sent to contract,ether_value__avg value sent to contract,number_of_transactions__total transactions (including tnx to create contract,ether__total ether sent,ether__total ether received,ether__total ether sent contracts,ether__total ether balance,erc20__total erc20 tnxs,erc20__erc20 total ether received,erc20__erc20 total ether sent,erc20__erc20 total ether sent contract,erc20__erc20 uniq sent addr,erc20_num_of_transactions__erc20 uniq rec addr,erc20_num_of_transactions__erc20 uniq sent addr.1,erc20_num_of_transactions__erc20 uniq rec contract addr,erc20_value__erc20 min val rec,erc20_value__erc20 max val rec,erc20_value__erc20 avg val rec,erc20_value__erc20 min val sent,erc20_value__erc20 max val sent,erc20_value__erc20 avg val sent,erc20__erc20 uniq sent token name,erc20__erc20 uniq rec token name
1598,6.73,0.27,20.72,3,2,0,2,3,458.500397,1542.499603,1000.5,1.6,1388.88108,666.9993900000002,0.0,0.0,0.0,5,2000.998169,2001.0,0.0,0.001830667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5559,0.0,0.0,23.72,1,1,0,1,1,0.1,0.1,0.1,0.099418,0.099418,0.099418,0.0,0.0,0.0,2,0.099418468,0.1,0.0,0.000581532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4175,10726.92,5300.98,706977.08,58,16,0,6,25,0.1,12.5,5.953125,0.0,16.0,1.908397,0.0,0.0,0.0,74,110.687,95.25,0.0,-15.437,86.0,476691.3653,445591.7376,0.0,13.0,40.0,0.0,35.0,0.0,125000.0,7814.6125459999985,0.0,124900.0,17823.6695,12.0,34.0
8500,0.0,49440.55,197762.18,0,4,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3685,0.0,2099.66,226763.67,0,108,1,10,0,0.0,10.75,1.032619,0.0,0.0,0.0,0.0,0.0,0.0,109,0.0,111.5228835,0.0,111.5228835,2.0,3.626416531,0.0,0.0,0.0,2.0,0.0,2.0,0.759846,2.8665700000000003,1.813208,0.0,0.0,0.0,0.0,2.0
2995,0.0,0.0,305.8,1,1,0,1,1,0.05,0.05,0.05,0.04938,0.04938,0.04938,0.0,0.0,0.0,2,0.04938,0.05,0.0,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9425,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.337,0.0,0.0,0.0,1.0,0.0,1.0,1.337,1.337,1.337,0.0,0.0,0.0,0.0,1.0
6348,0.0,1859.21,245416.3,0,132,1,4,0,0.0,1.207957,0.929568,0.0,0.0,0.0,0.0,0.0,0.0,133,0.0,122.7029585,0.0,122.7029585,2.0,2.866524453,0.0,0.0,0.0,2.0,0.0,2.0,0.964686,1.901839,1.433262,0.0,0.0,0.0,0.0,2.0
4923,0.0,0.0,0.0,0,1,0,1,0,0.0666399999999999,0.0666399999999999,0.0666399999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.066639638,0.0,0.066639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4600,157.54,0.0,315.08,2,1,0,1,2,101.0,101.0,101.0,0.82395,100.175066,50.499508,0.0,0.0,0.0,3,100.9990158,101.0,0.0,0.000984218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
