Feature,Bin,Count,Count (%),WoE,IV,Non-event,Event,Event rate,JS
ether_value__avg val received,"(-inf, 0.00)",553,0.070374141,-3.779889561,1.08498551,41,512,0.925858951,0.088066333
ether_value__avg val received,"[0.00, 1.57)",3273,0.416518198,-0.344613669,0.054118803,2334,939,0.286892759,0.006731574
ether_value__avg val received,"[1.57, 3.45)",775,0.098625604,-0.073949291,0.000550406,593,182,0.23483871,6.88E-05
ether_value__avg val received,"[3.45, 5.47)",393,0.050012726,1.039079841,0.03920135,357,36,0.091603053,0.004690978
ether_value__avg val received,"[5.47, 24.93)",938,0.119368796,1.393094703,0.150013227,876,62,0.066098081,0.017368726
ether_value__avg val received,"[24.93, inf)",1926,0.245100534,3.81690692,1.168416798,1914,12,0.00623053,0.094244847
ether_value__avg val received,,7858,1,,2.497286094,6115,1743,0.221812166,0.211171243
ether__total ether received,"(-inf, 0.00)",561,0.071392212,-3.795393747,1.106855908,41,520,0.926916221,0.089605636
ether__total ether received,"[0.00, 4.67)",1726,0.219648766,-0.581912525,0.08586897,1143,583,0.337775203,0.010584696
ether__total ether received,"[4.67, 17.80)",1052,0.133876304,-0.317455081,0.014663799,756,296,0.281368821,0.001825317
ether__total ether received,"[17.80, 26.51)",442,0.056248409,-0.038375042,8.37E-05,341,101,0.228506787,1.05E-05
ether__total ether received,"[26.51, 39.46)",401,0.051030797,0.118734839,0.000695636,320,81,0.201995012,8.69E-05
ether__total ether received,"[39.46, 94.56)",703,0.089462968,0.811565513,0.046031996,624,79,0.112375533,0.005601114
ether__total ether received,"[94.56, 1638.81)",2337,0.29740392,2.16524455,0.709373204,2263,74,0.031664527,0.074607041
ether__total ether received,"[1638.81, inf)",636,0.080936625,2.988584961,0.291002222,627,9,0.014150943,0.026963879
ether__total ether received,,7858,1,,2.254575451,6115,1743,0.221812166,0.209285051
ether_value__max value received,"(-inf, 0.00)",561,0.071392212,-3.795393747,1.106855908,41,520,0.926916221,0.089605636
ether_value__max value received,"[0.00, 1.00)",1477,0.187961313,-0.315506321,0.02032616,1062,415,0.280974949,0.002530284
ether_value__max value received,"[1.00, 5.16)",1787,0.227411555,-0.20445132,0.010042077,1324,463,0.259093453,0.001253078
ether_value__max value received,"[5.16, 10.00)",606,0.07711886,-0.125480092,0.001256467,458,148,0.244224422,0.000156955
ether_value__max value received,"[10.00, 20.00)",564,0.071773988,0.304081153,0.006075891,466,98,0.173758865,0.000756574
ether_value__max value received,"[20.00, 50.05)",548,0.069737847,1.111321497,0.061083428,501,47,0.085766423,0.007265277
ether_value__max value received,"[50.05, 1000.00)",1902,0.242046322,2.487929283,0.693135049,1858,44,0.023133544,0.069518077
ether_value__max value received,"[1000.00, inf)",413,0.052557903,2.669308523,0.164538294,405,8,0.01937046,0.016046053
ether_value__max value received,,7858,1,,2.063313275,6115,1743,0.221812166,0.187131933
transaction_time__time diff between first and last (mins),"(-inf, 0.22)",493,0.06273861,-3.709672555,0.942600692,39,454,0.920892495,0.077425238
transaction_time__time diff between first and last (mins),"[0.22, 198534.23)",4517,0.574828201,-0.165654508,0.016496607,3380,1137,0.251715741,0.002059721
