x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
transaction_time__avg min between sent tnx,transaction_time__avg min between sent tnx,1.0,predict_itself,True,,0.0,1.0,
transaction_time__avg min between sent tnx,transaction_time__avg min between received tnx,0.0,regression,True,mean absolute error,8417.044038,12903.229007007722,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,transaction_time__time diff between first and last (mins),0.0,regression,True,mean absolute error,215952.370092,232816.60923322398,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,number_of_transactions__sent tnx,0.0,regression,True,mean absolute error,100.9864,177.65467116258355,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,number_of_transactions__received tnx,0.0,regression,True,mean absolute error,146.701,242.26773405687325,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,number_of_transactions__number of created contracts,0.0,regression,True,mean absolute error,2.6978,6.669762204979664,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,number_of_transactions__unique received from addresses,0.0,regression,True,mean absolute error,29.627,52.91982314651533,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,number_of_transactions__unique sent to addresses,0.0,regression,True,mean absolute error,22.6334,37.725864495916866,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__min value received,0.0,regression,True,mean absolute error,44.8763619274,54.611094511549005,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__max value received,0.0,regression,True,mean absolute error,705.0754316196001,1299.5106710214773,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__avg val received,0.0,regression,True,mean absolute error,127.37483457840001,195.41881194112884,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__min val sent,0.0,regression,True,mean absolute error,6.0349038804,10.230976016157834,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__max val sent,0.0,regression,True,mean absolute error,256.50741659420004,377.7944646219597,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__avg val sent,0.0,regression,True,mean absolute error,43.8688148764,48.09092962998489,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__min value sent to contract,0.0,regression,True,mean absolute error,6e-06,1.4e-05,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__max val sent to contract,0.0,regression,True,mean absolute error,1.52058e-05,4.1617400000000006e-05,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether_value__avg value sent to contract,0.0,regression,True,mean absolute error,1.06028e-05,2.7808400000000003e-05,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,number_of_transactions__total transactions (including tnx to create contract,0.0,regression,True,mean absolute error,249.336,417.77522600199626,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether__total ether sent,0.0,regression,True,mean absolute error,5764.586128715095,12748.367086300008,DecisionTreeRegressor()
transaction_time__avg min between sent tnx,ether__total ether received,0.0,regression,True,mean absolute error,11591.290212366648,24149.483000861812,DecisionTreeRegressor()
