,person_age,person_income,person_emp_length,loan_intent,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,home_own,home_mortgage
28905,22,53760,3.0,0.08069432625986454,4000,13.43,0.07,0,2,0,0
34862,22,26886,6.0,0.08069432625986454,7500,13.49,0.28,1,2,0,0
32740,26,57000,10.0,0.4841067276764486,3500,7.68,0.06,0,4,0,1
45780,23,48000,8.0,0.31837825526225194,5000,12.42,0.1,0,3,0,0
21826,34,62500,2.0,-0.26697081618436225,16000,10.99,0.26,0,7,0,1
20267,23,38400,7.0,0.31837825526225194,10750,7.51,0.3,0,3,0,1
44778,27,37000,9.0,-0.34124694318944354,10000,5.42,0.27,0,9,0,0
18448,25,75000,5.0,-0.2362778376648724,2000,6.62,0.03,0,2,0,0
6683,36,60000,5.0,0.31837825526225194,9000,11.49,0.15,0,17,0,0
51318,29,52000,13.0,0.08069432625986454,6000,8.59,0.12,0,8,0,1
21321,41,37000,2.0,0.4841067276764486,1000,14.26,0.03,1,14,0,0
30335,30,72000,14.0,0.31837825526225194,14000,11.89,0.19,0,9,0,1
12962,23,50000,5.0,0.08069432625986454,15000,6.91,0.3,0,3,0,1
4889,28,35000,4.0,-0.34124694318944354,11000,14.27,0.32,0,7,0,0
54530,23,72000,7.0,0.31837825526225194,6000,6.99,0.08,0,4,0,1
2640,29,87600,15.0,-0.26697081618436225,4000,11.49,0.04,0,6,0,1
48674,36,46443,16.0,-0.26697081618436225,10000,5.99,0.22,0,16,0,0
50370,23,35500,6.0,0.4841067276764486,4000,10.75,0.11,0,3,0,0
40351,26,50000,10.0,0.08069432625986454,6000,9.99,0.12,0,2,0,0
38739,26,70000,1.0,0.4841067276764486,4000,7.42,0.06,0,2,0,0
39389,25,120000,9.0,-0.34124694318944354,21000,11.26,0.17,0,3,0,1
21438,23,24996,2.0,-0.34124694318944354,2500,15.95,0.1,1,4,0,0
27197,21,25000,5.0,0.4841067276764486,5500,7.51,0.21,0,2,0,1
48726,25,150000,9.0,0.31837825526225194,12000,7.51,0.08,0,4,0,1
38612,31,75000,4.0,0.08069432625986454,8500,6.03,0.12,0,9,0,1
8514,23,85000,1.0,0.31837825526225194,10000,7.29,0.12,0,2,0,0
18665,45,126000,5.0,-0.2362778376648724,14000,8.49,0.11,0,11,0,1
36860,23,27000,4.0,0.31837825526225194,7500,7.88,0.27,0,3,1,0
31615,22,50000,2.0,-0.34124694318944354,10000,8.94,0.2,0,2,0,0
2970,32,46900,2.0,-0.26697081618436225,12000,14.27,0.25,1,10,0,0
13441,44,70800,4.0,0.08069432625986454,10000,12.18,0.14,0,15,0,0
49207,30,70000,13.0,-0.2362778376648724,10000,7.88,0.14,0,10,0,1
10249,24,75000,0.0,0.31837825526225194,10000,9.91,0.13,0,4,0,0
39079,33,43000,6.0,0.08069432625986454,18000,8.49,0.42,0,5,0,0
6503,29,75000,1.0,-0.26697081618436225,15000,12.73,0.2,1,9,0,1
16311,28,60000,12.0,0.4841067276764486,5000,10.95,0.08,0,10,0,1
40186,32,100000,16.0,0.4841067276764486,7000,7.49,0.07,0,10,0,1
29691,44,45000,28.0,0.4841067276764486,13000,10.65,0.29,0,14,0,1
41905,23,74029,7.0,-0.34124694318944354,5000,15.23,0.07,1,2,0,1
50065,26,33000,0.0,0.4841067276764486,3000,12.73,0.09,0,4,0,0
1439,25,100000,9.0,-0.34124694318944354,12000,13.23,0.12,1,2,0,1
9493,28,55000,10.0,0.4841067276764486,10000,7.51,0.18,0,9,0,1
9307,31,30000,3.0,0.08069432625986454,5000,10.99,0.17,0,9,0,0
28997,23,60000,4.0,-0.34124694318944354,9000,7.51,0.15,0,4,0,0
51636,25,120000,1.0,-0.26697081618436225,6000,11.89,0.05,0,2,1,0
35658,29,70000,14.0,0.31837825526225194,15000,12.23,0.21,1,6,0,1
13924,35,115000,6.0,0.31837825526225194,10000,10.37,0.09,0,10,0,0
19229,24,43000,1.0,-0.26697081618436225,8600,14.79,0.21,1,4,0,0
50801,21,60000,1.0,-0.34124694318944354,5500,13.79,0.09,1,2,0,0
4607,28,75000,7.0,-0.34124694318944354,10000,7.9,0.13,0,5,0,0
27991,24,30000,3.0,-0.34124694318944354,5000,10.65,0.17,0,4,0,0
46160,25,120000,9.0,-0.2362778376648724,25000,9.91,0.21,0,4,0,1
3380,22,47000,6.0,0.31837825526225194,6000,12.42,0.13,0,2,0,0
55936,26,45000,1.0,0.4841067276764486,6000,5.79,0.13,0,3,0,0
1027,25,65000,7.0,0.08069432625986454,15000,15.65,0.23,1,4,0,0
18073,26,150000,4.0,-0.26697081618436225,5000,12.18,0.03,0,2,0,1
37465,24,48000,8.0,0.4841067276764486,3000,5.99,0.06,0,2,0,1
41990,22,30000,1.0,0.08069432625986454,6600,14.42,0.22,0,4,0,0
52298,26,39600,8.0,-0.26697081618436225,3000,5.42,0.08,0,4,0,1
5761,26,30000,7.0,-0.34124694318944354,3600,11.49,0.12,0,2,0,0
33871,30,81000,9.0,-0.34124694318944354,5000,9.99,0.06,0,9,0,0
15689,24,50000,3.0,-0.2362778376648724,5000,10.38,0.1,0,4,0,1
44377,29,24000,3.0,-0.2362778376648724,2800,16.32,0.12,0,6,0,0
11567,27,31200,3.0,-0.26697081618436225,3600,12.53,0.12,0,6,0,0
9373,26,53808,9.0,0.4841067276764486,10000,6.62,0.19,0,4,0,1
1394,22,72000,6.0,-0.34124694318944354,12500,5.79,0.17,0,2,0,1
25780,41,70000,2.0,0.4841067276764486,4000,13.23,0.06,1,11,0,0
25839,50,120000,19.0,-0.2362778376648724,25000,12.84,0.21,0,12,0,1
31717,35,38400,2.0,0.4841067276764486,10000,7.66,0.26,0,10,1,0
33779,27,98000,1.0,-0.2362778376648724,35000,16.77,0.36,0,6,0,1
347,41,67000,0.0,0.08069432625986454,10000,17.39,0.15,1,17,0,1
40646,31,58656,0.0,-0.2362778376648724,8000,12.84,0.14,1,6,1,0
13244,26,55000,8.0,0.4841067276764486,9100,12.42,0.17,0,4,0,0
29837,25,100000,9.0,0.4841067276764486,10400,15.05,0.1,1,2,0,1
56017,27,40000,6.0,0.08069432625986454,10000,7.74,0.25,0,8,0,1
16281,29,60000,0.0,0.31837825526225194,10000,11.14,0.17,0,7,1,0
4275,31,53000,5.0,-0.26697081618436225,8000,14.26,0.15,1,6,0,0
29485,31,90000,13.0,-0.34124694318944354,13000,6.92,0.14,0,6,0,1
46654,25,65000,0.0,0.4841067276764486,5000,13.67,0.08,1,2,0,0
45217,41,41784,3.0,-0.26697081618436225,11500,13.11,0.28,0,14,0,0
775,29,33996,2.0,0.4841067276764486,6000,14.96,0.18,1,10,0,0
25175,31,32000,15.0,-0.26697081618436225,4800,14.27,0.15,0,5,0,0
53998,25,70000,9.0,0.31837825526225194,20000,12.21,0.29,0,3,0,1
37698,23,40000,7.0,0.4841067276764486,10000,5.79,0.25,0,3,0,0
42569,25,93000,9.0,0.08069432625986454,12000,9.88,0.13,0,2,0,1
40905,27,54000,11.0,0.31837825526225194,6000,14.27,0.11,1,7,0,0
54686,24,50000,0.0,0.08069432625986454,5600,9.32,0.11,0,3,0,0
6313,22,50000,5.0,0.31837825526225194,5000,6.17,0.1,0,3,0,0
6823,21,53760,4.0,0.08069432625986454,5000,7.14,0.09,0,2,0,1
21471,32,55000,3.0,0.08069432625986454,3200,13.92,0.06,0,9,0,0
14610,22,52000,5.0,0.31837825526225194,5600,8.0,0.11,0,2,0,0
56477,23,75000,5.0,0.4841067276764486,10000,10.65,0.13,0,4,0,0
18613,24,115000,3.0,0.4841067276764486,9975,7.51,0.09,0,4,0,0
57364,23,80000,4.0,-0.34124694318944354,4800,7.51,0.06,0,2,0,1
7429,36,86400,0.0,0.31837825526225194,8000,13.49,0.09,1,15,0,0
21845,23,80000,6.0,0.08069432625986454,10000,11.14,0.13,0,3,0,0
37876,35,54000,4.0,-0.34124694318944354,10000,14.11,0.19,1,6,0,0
16133,26,54996,5.0,-0.2362778376648724,3200,6.76,0.06,0,4,0,0
14476,22,89000,2.0,0.4841067276764486,18000,10.91,0.2,1,4,0,1
25621,23,48000,7.0,0.31837825526225194,1400,9.62,0.03,0,2,0,1
20462,27,45000,2.0,0.08069432625986454,13000,10.36,0.29,0,8,0,0
40752,30,250000,14.0,0.08069432625986454,10000,7.49,0.04,0,9,0,1
13665,25,60000,4.0,-0.2362778376648724,2000,13.49,0.03,1,4,0,0
8701,27,48000,7.0,0.4841067276764486,1000,14.65,0.02,0,7,1,0
42098,26,48000,2.0,0.31837825526225194,6000,10.59,0.12,0,3,0,0
36137,22,44004,0.0,-0.26697081618436225,5000,13.79,0.11,1,4,0,0
57124,23,40000,2.0,0.31837825526225194,8000,10.65,0.2,0,2,0,0
33929,21,46000,3.0,0.08069432625986454,2500,11.48,0.05,0,2,0,1
897,23,67000,3.0,-0.26697081618436225,20000,12.21,0.3,0,2,0,0
13676,24,75000,1.0,-0.2362778376648724,10000,8.94,0.13,0,2,0,0
12996,28,28000,4.0,0.4841067276764486,3000,8.9,0.11,0,10,0,0
5837,26,51400,1.0,-0.2362778376648724,8000,7.9,0.16,0,3,0,0
31140,22,49600,5.0,0.08069432625986454,8400,7.14,0.17,0,3,0,0
6279,30,58800,15.0,-0.26697081618436225,23500,10.62,0.4,0,9,0,0
16600,24,26500,6.0,-0.26697081618436225,6000,12.29,0.23,0,3,0,0
34580,37,70000,3.0,-0.34124694318944354,16000,7.88,0.23,0,13,0,1
51304,21,40000,5.0,0.08069432625986454,12000,7.51,0.3,0,4,1,0
53982,26,60000,3.0,0.4841067276764486,3600,10.74,0.06,0,2,0,0
23046,28,75000,5.0,0.08069432625986454,15000,7.9,0.2,0,7,0,1
37603,24,30000,1.0,-0.26697081618436225,9200,17.99,0.3,1,2,0,0
52586,24,80000,4.0,-0.34124694318944354,9000,6.62,0.11,0,3,0,0
56970,21,25000,2.0,0.08069432625986454,7800,14.42,0.3,1,4,0,0
51509,43,38400,0.0,-0.34124694318944354,4000,11.83,0.1,0,13,0,0
31806,27,65000,11.0,0.4841067276764486,20000,13.22,0.31,1,5,0,1
17336,25,26400,2.0,0.4841067276764486,8875,7.51,0.34,0,2,0,0
25410,29,75000,9.0,0.31837825526225194,16000,6.03,0.21,0,9,0,1
12505,26,42000,3.0,-0.26697081618436225,5000,10.74,0.12,0,4,0,0
35770,35,49000,2.0,-0.34124694318944354,5000,14.46,0.1,1,10,0,0
42948,22,37308,0.0,0.31837825526225194,8400,10.99,0.23,0,4,0,0
