,loan_status
28905,0
34862,0
32740,0
45780,0
21826,0
20267,0
44778,0
18448,0
6683,0
51318,0
21321,0
30335,0
12962,0
4889,1
54530,0
2640,1
48674,0
50370,0
40351,0
38739,0
39389,0
21438,1
27197,0
48726,0
38612,0
8514,0
18665,0
36860,0
31615,0
2970,1
13441,0
49207,0
10249,0
39079,1
6503,0
16311,0
40186,0
29691,0
41905,0
50065,0
1439,0
9493,0
9307,0
28997,0
51636,0
35658,0
13924,0
19229,0
50801,0
4607,0
27991,1
46160,0
3380,0
55936,0
1027,1
18073,0
37465,0
41990,1
52298,0
5761,0
33871,0
15689,0
44377,1
11567,0
9373,0
1394,0
25780,0
25839,0
31717,0
33779,1
347,0
40646,0
13244,0
29837,0
56017,0
16281,0
4275,0
29485,0
46654,0
45217,0
775,1
25175,0
53998,0
37698,0
42569,0
40905,1
54686,0
6313,0
6823,0
21471,0
14610,0
56477,0
18613,0
57364,0
7429,0
21845,0
37876,1
16133,0
14476,0
25621,0
20462,1
40752,0
13665,0
8701,0
42098,0
36137,1
57124,0
33929,1
897,0
13676,0
12996,0
5837,0
31140,0
6279,1
16600,0
34580,0
51304,0
53982,0
23046,0
37603,1
52586,0
56970,1
51509,0
31806,0
17336,1
25410,0
12505,0
35770,1
42948,0
17151,0
46314,0
51073,0
41351,1
44896,0
8970,0
17622,0
3940,0
10302,1
153,0
50641,0
49577,0
45329,0
36725,0
46032,0
42240,0
40640,1
5578,1
42458,0
2680,0
25638,0
18178,0
2024,0
34662,0
53220,0
54434,0
36628,0
328,0
7194,0
14178,1
39873,0
5189,0
22261,0
6153,0
42176,0
30172,0
34010,0
16589,1
12373,0
29589,0
48403,0
55646,0
53638,0
36484,0
5488,1
6055,0
10508,0
29875,0
47687,0
4901,0
21542,0
40989,0
42128,0
6023,0
36384,0
22241,0
24240,1
46168,0
34624,0
23483,0
25008,0
35341,0
13674,0
17534,1
22319,0
46462,0
36372,0
789,0
52589,0
46906,0
3214,0
20678,0
14399,0
35154,0
58366,0
13402,0
16364,1
31209,0
44754,0
56196,0
26628,0
55716,0
7141,0
23905,1
13336,0
14926,0
33651,0
42770,0
30685,0
30382,0
36366,0
9063,1
39122,0
2140,0
17438,0
21802,0
54144,0
50356,0
55836,0
11071,0
13887,0
46797,0
27041,0
37760,0
36654,1
18727,0
39564,0
51045,0
48876,0
29877,0
28239,0
28922,1
38436,0
50136,0
41222,0
7247,0
30498,0
56801,0
38320,0
36581,0
29291,0
7556,0
24278,1
30268,0
34228,1
36182,0
10443,0
54883,0
53584,0
9776,1
37559,0
22293,0
30255,0
24969,0
15383,0
49287,0
19849,0
13865,0
57286,0
10250,1
37623,0
30486,0
16846,0
5562,0
26427,1
10729,1
35397,0
19154,0
7001,0
702,0
30589,0
34095,0
40399,0
52995,1
57524,1
26650,0
