,clusters
28905,3
34862,1
32740,4
45780,3
21826,0
20267,0
44778,0
18448,3
6683,2
51318,4
21321,2
30335,4
12962,0
4889,0
54530,4
2640,4
48674,2
50370,3
40351,3
38739,3
39389,0
21438,1
27197,4
48726,4
38612,4
8514,3
18665,2
36860,3
31615,3
2970,1
13441,2
49207,4
10249,3
39079,0
6503,1
16311,4
40186,4
29691,2
41905,1
50065,3
1439,1
9493,4
9307,3
28997,3
51636,3
35658,1
13924,2
19229,1
50801,1
4607,3
27991,3
46160,0
3380,3
55936,3
1027,1
18073,4
37465,4
41990,3
52298,4
5761,3
33871,3
15689,4
44377,3
11567,3
9373,4
1394,4
25780,1
25839,2
31717,3
33779,0
347,2
40646,1
13244,3
29837,1
56017,4
16281,3
4275,1
29485,4
46654,1
45217,2
775,1
25175,3
53998,0
37698,3
42569,4
40905,1
54686,3
6313,3
6823,4
21471,3
14610,3
56477,3
18613,3
57364,4
7429,1
21845,3
37876,1
16133,3
14476,1
25621,4
20462,0
40752,4
13665,1
8701,3
42098,3
36137,1
57124,3
33929,4
897,0
13676,3
12996,3
5837,3
31140,3
6279,0
16600,3
34580,2
51304,0
53982,3
23046,4
37603,1
52586,3
56970,1
51509,2
31806,1
17336,0
25410,4
12505,3
35770,1
42948,3
17151,0
46314,3
51073,3
41351,1
44896,3
8970,3
17622,3
3940,3
10302,3
153,2
50641,4
49577,4
45329,3
36725,2
46032,1
42240,3
40640,3
5578,2
42458,1
2680,3
25638,0
18178,2
2024,3
34662,4
53220,1
54434,3
36628,1
328,0
7194,4
14178,0
39873,4
5189,0
22261,3
6153,3
42176,3
30172,4
34010,4
16589,1
12373,0
29589,3
48403,0
55646,4
53638,0
36484,3
5488,4
6055,3
10508,3
29875,4
47687,2
4901,3
21542,4
40989,2
42128,1
6023,2
36384,3
22241,3
24240,0
46168,0
34624,3
23483,3
25008,3
35341,3
13674,1
17534,0
22319,3
46462,4
36372,3
789,3
52589,4
46906,3
3214,3
20678,1
14399,4
35154,0
58366,4
13402,4
16364,1
31209,3
44754,3
56196,0
26628,0
55716,1
7141,3
23905,2
13336,2
14926,3
33651,0
42770,3
30685,2
30382,0
36366,4
9063,3
39122,3
2140,3
17438,2
21802,4
54144,2
50356,4
55836,4
11071,3
13887,3
46797,4
27041,3
37760,3
36654,0
18727,3
39564,3
51045,4
48876,3
29877,4
28239,4
28922,0
38436,4
50136,1
41222,3
7247,3
30498,4
56801,3
38320,4
36581,4
29291,3
7556,1
24278,1
30268,3
34228,0
36182,4
10443,4
54883,2
53584,1
9776,0
37559,4
22293,3
30255,0
24969,4
15383,3
49287,0
19849,3
13865,4
57286,0
10250,0
37623,3
30486,4
16846,3
5562,3
26427,3
10729,3
35397,3
19154,4
7001,0
702,0
30589,0
34095,4
40399,4
52995,1
57524,3
26650,4
1035,4
37605,4
23957,2
42969,4
14682,3
56306,2
50448,2
55786,3
39673,1
190,4
5378,0
32173,4
28082,3
47039,1
13362,0
51449,3
26947,1
55664,1
26043,0
30354,4
13650,3
49726,1
56137,3
40947,3
5105,4
10570,0
3999,0
54312,0
14595,4
1208,1
21125,0
44331,4
48953,0
52050,3
52920,2
15164,4
53728,4
46208,4
58149,0
30254,4
18116,4
18562,3
8855,3
34848,3
29782,4
1740,1
1978,3
52744,3
6074,1
13142,4
41033,4
9866,1
20360,0
20081,1
55016,2
57779,0
15970,3
28368,0
4753,4
20072,3
50010,2
21157,3
36106,3
10740,3
47935,3
34182,4
2267,3
23176,3
57636,4
52375,4
44511,0
24578,4
40963,3
30108,4
8228,3
1853,1
14410,0
55326,4
23225,4
21344,1
28179,2
39885,3
15186,1
11239,4
37978,0
42319,4
4776,0
2568,3
41492,3
17055,4
48946,1
57053,1
46604,1
25595,3
3938,1
36322,0
33730,3
30619,4
19871,1
35590,1
54281,3
44863,4
55276,2
55255,0
51254,3
1254,3
56211,0
25511,1
49970,4
2802,1
40825,0
21658,1
28645,3
29252,3
3756,3
32243,0
26745,0
45699,4
25319,3
33265,4
41924,0
17575,1
38039,4
5786,4
19425,4
14386,1
47420,3
744,0
33658,3
45301,1
35324,0
41944,3
45091,3
30775,4
5340,1
11044,2
53547,4
8417,3
30076,3
39590,2
51534,3
8942,2
36317,0
53858,1
39104,3
9047,3
28194,0
37083,3
4948,4
30139,3
27176,0
39124,2
44600,1
53917,4
56364,2
529,1
4829,4
39949,3
23830,3
33255,3
17283,3
14797,1
13618,2
12033,4
34119,4
45742,4
46149,1
561,1
27541,0
19979,3
44734,4
40602,0
20757,3
24698,3
52719,2
33327,4
29581,3
53717,4
49882,0
34047,0
29876,3
3294,0
33165,0
1477,3
16818,4
3674,3
26678,4
45359,3
47735,4
42074,3
43322,4
1891,4
9658,3
32041,2
13658,1
49387,3
20576,4
35208,3
18921,0
24053,3
24902,0
39479,4
29466,4
51049,3
3242,4
38760,4
25994,3
38015,2
47849,0
54491,4
18742,3
27163,3
3514,3
14107,0
11760,3
35063,0
23212,1
36101,2
58544,0
47635,4
7130,3
38621,3
23669,0
26278,4
15111,3
31498,4
43288,2
10417,4
29309,2
35025,4
44392,2
16400,1
15747,3
8060,4
49579,1
51672,3
30091,1
56504,3
24258,0
6172,4
40527,4
13064,1
6971,3
4283,0
20548,0
20672,3
51113,4
6702,0
41753,0
3984,1
30430,0
19894,0
34796,4
47606,3
1223,2
21340,4
54494,3
21524,3
5015,4
34838,0
41198,3
38437,3
16599,0
14971,3
40184,2
34850,0
29880,0
35033,0
28955,4
43308,0
6577,0
32510,1
15237,3
5911,2
12723,1
48814,0
22038,3
15622,4
52887,4
13268,3
51188,1
55713,3
50077,0
54078,1
39960,3
45546,4
13733,4
12452,2
55512,4
22575,3
33397,4
48846,0
1789,3
38857,2
21053,0
9361,2
47109,2
41450,3
9281,1
728,0
6311,4
28272,0
47671,1
24312,4
43972,2
22215,4
21060,4
36100,4
8121,4
13480,0
13157,3
18639,4
27173,0
51882,2
31750,0
39749,3
29103,0
22747,3
57634,4
41335,4
11849,1
27506,1
14137,4
15373,0
7874,3
11953,3
5370,3
30926,3
1704,4
22014,4
46524,0
57804,3
20004,3
35159,3
27985,4
38101,2
50960,1
20369,2
13670,2
14276,2
29293,3
9256,0
31023,2
36984,3
3537,1
50245,3
10148,2
20130,4
17180,4
17280,1
23465,0
28125,3
18392,0
34949,0
36467,0
16832,3
57492,3
45034,3
42951,2
22557,3
29949,0
28218,3
4131,4
57895,3
11808,1
55558,4
23057,4
38788,3
12142,2
35859,4
80,3
2225,3
6455,3
47191,4
45266,0
50218,3
44652,3
7327,4
41914,3
23041,3
10182,3
49026,4
23757,4
18793,4
30388,0
51501,3
22724,3
52558,3
22478,4
30932,3
42198,2
58073,3
17446,2
21728,3
37868,1
49154,1
44595,0
33062,3
31755,1
16561,3
17583,2
31766,3
56012,4
22873,0
8841,4
6383,3
58416,0
9611,0
24535,3
48192,4
8030,4
39578,3
51714,3
22491,3
27973,1
52550,3
42334,0
27517,0
52659,0
5362,1
1057,2
23518,4
14159,3
7763,0
54371,2
46243,3
20211,3
22343,4
6415,4
1860,4
21756,3
27097,3
41858,4
21796,1
1802,2
50198,1
14669,3
1885,4
46685,1
56923,3
23476,4
32349,4
44704,3
43724,4
14360,1
31761,3
10792,3
45572,0
12183,3
34657,1
14353,2
54968,4
46580,4
54480,0
31487,3
23618,4
41630,3
5111,0
31997,4
2200,4
41369,3
45825,4
37398,1
45626,4
28542,4
29548,3
33183,0
519,0
54821,3
31670,0
36464,1
28424,1
44852,4
26824,2
5776,4
7259,1
3429,4
14613,0
43568,2
27103,4
53664,3
45013,4
24263,1
19265,4
40004,0
58440,4
2936,4
25499,2
41582,2
21830,4
15584,2
15562,4
17570,2
12888,4
12147,4
51065,4
20832,0
17432,2
39522,1
8926,0
40800,4
46705,4
38650,4
9337,3
30863,3
13866,4
15921,1
40795,3
16356,4
7866,3
2552,4
19210,3
39085,4
45531,1
48913,3
18398,0
49056,2
12651,0
19209,1
29301,3
48682,0
48122,3
55905,4
57208,3
29497,3
27608,0
47277,3
43598,4
10512,2
57905,4
53997,0
2598,3
4671,1
10028,4
37565,0
40996,3
9568,0
16904,4
58294,3
35419,3
426,4
25796,2
56069,3
29083,4
19944,4
48951,1
38730,4
4288,4
11498,3
28173,4
22313,0
52643,1
8717,3
19086,4
37938,4
26660,4
41280,4
14879,0
3723,0
15591,4
34857,1
51759,0
47127,4
47876,1
33406,1
10974,0
41161,0
18059,4
14702,3
49648,3
48216,3
6319,4
41089,4
32512,1
32987,3
14494,3
39799,3
55147,3
46022,3
26225,3
24691,0
55408,4
45170,0
11159,4
14729,0
33116,4
23709,3
2496,3
18526,2
5930,1
23183,2
23132,4
1542,3
44222,3
28788,3
32611,4
40258,2
29540,1
4542,4
21396,1
39718,2
30390,2
8795,4
33725,1
13108,4
29659,4
19032,4
23111,2
57925,4
26930,0
12832,2
8940,4
41811,4
56994,1
24326,4
5956,0
25790,1
36151,3
35271,0
16829,1
37300,0
10585,3
29274,4
35825,4
22093,0
31552,0
31497,4
36102,2
20845,1
56143,3
37674,4
21248,3
22129,4
50211,4
15611,4
23403,3
21762,0
46978,2
16043,3
10353,0
18271,3
44323,0
54089,4
21898,1
31070,4
17203,0
1487,3
53006,3
33659,4
33709,0
47189,3
52904,0
14008,3
47394,0
23204,1
13910,1
26629,2
22069,3
26449,0
45695,3
18240,1
27263,3
17469,3
48056,3
43559,3
22339,4
1900,3
50723,1
8933,2
5991,4
6718,1
32684,3
7000,3
5627,1
6521,0
48732,1
34022,2
4274,4
52407,3
29272,0
10310,3
2819,3
197,3
49518,4
26452,0
33136,0
40772,4
54526,2
9561,2
47572,3
50439,3
18872,3
22626,3
55950,3
41572,4
54319,4
56783,3
42952,3
58535,3
54580,4
7121,3
8802,4
50476,2
11506,1
48496,3
45305,2
3749,2
57671,4
14814,3
38666,3
36540,3
16764,4
4697,3
53755,4
46069,0
29192,4
55819,1
42930,3
52616,0
39038,4
31185,0
49972,0
44965,2
19510,3
2185,4
28087,1
39555,4
20635,3
56129,0
1912,0
1569,4
17271,0
28076,4
39496,0
41715,0
41203,1
40940,3
20876,0
10688,1
3140,1
20729,2
26514,3
24880,4
53648,2
56856,3
8601,0
28123,4
35019,4
41310,0
22265,4
33904,0
52972,3
6164,1
48586,4
48220,4
39416,4
980,4
39722,4
36514,4
57506,1
36012,2
41565,1
6501,4
25618,2
50322,3
