Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
1,25.0,1,5,31.38,0,1,0,0,1
3,23.0,0,0,10.27,0,1,0,0,1
3,47.0,0,0,8.55,0,1,0,0,1
2,52.0,0,0,22.49,0,1,0,0,1
1,22.0,0,0,26.7,1,0,1,0,0
2,64.0,0,0,22.97,0,1,0,0,1
3,38.0,0,2,10.47,0,1,0,0,1
3,27.0,0,0,7.79,0,1,0,0,1
3,4.0,1,2,30.26,0,1,0,0,1
1,61.0,1,1,75.16,0,1,0,1,0
1,32.0,0,0,247.4,1,0,1,0,0
3,67.0,0,0,8.92,0,1,0,0,1
2,53.0,0,1,31.59,1,0,1,0,0
2,50.0,0,0,14.34,1,0,0,0,1
3,34.0,0,0,9.95,0,1,0,1,0
3,11.0,0,0,11.53,1,0,0,0,1
3,38.0,0,0,5.88,0,1,0,0,1
3,3.0,1,2,76.9,1,0,0,0,1
2,45.0,0,1,32.86,1,0,0,0,1
2,38.0,0,0,12.2,0,1,0,0,1
1,53.0,1,0,24.46,0,1,0,0,1
1,54.0,0,0,30.41,0,1,0,0,1
3,25.0,0,0,7.59,1,0,0,0,1
1,20.0,1,0,26.91,0,1,0,0,1
3,49.0,0,0,9.82,0,1,0,0,1
3,45.5,0,0,10.48,0,1,0,0,1
3,13.0,0,0,8.12,0,1,0,0,1
1,44.0,0,0,10.12,1,0,1,0,0
1,52.0,0,0,26.17,0,1,1,0,0
2,54.0,1,1,20.06,1,0,1,0,0
3,26.0,0,0,8.49,0,1,0,0,1
3,57.0,0,0,28.95,0,1,0,0,1
2,37.0,0,0,27.3,1,0,0,0,1
3,35.0,0,0,9.72,0,1,0,0,1
1,19.0,1,1,255.09,1,0,1,0,0
3,25.0,0,0,10.46,1,0,1,0,0
3,26.0,0,3,8.02,1,0,1,0,0
3,24.0,0,0,27.28,1,0,0,0,1
1,57.0,0,0,54.17,0,1,0,0,1
1,39.0,1,0,27.29,1,0,0,0,1
2,57.0,0,0,27.1,1,0,1,0,0
1,64.0,1,2,78.06,1,0,0,0,1
3,24.0,0,0,7.4,0,1,0,0,1
1,54.0,1,0,241.58,1,0,0,0,1
2,27.0,0,0,9.8,0,1,0,0,1
1,49.0,0,2,24.32,1,0,0,0,1
2,46.5,0,0,41.3,1,0,0,0,1
2,48.0,4,2,34.0,0,1,0,0,1
3,48.0,0,0,8.08,0,1,0,0,1
1,64.0,1,2,72.3,1,0,0,0,1
2,27.0,0,0,13.53,0,1,0,0,1
1,51.0,1,0,32.88,0,1,0,0,1
1,53.0,1,1,34.44,0,1,0,0,1
3,30.0,0,0,21.36,1,0,0,0,1
3,51.0,0,4,13.07,1,0,0,0,1
3,31.0,1,2,30.36,1,0,0,0,1
2,36.0,0,0,12.05,1,0,0,0,1
3,26.0,0,0,27.89,0,1,0,0,1
1,72.0,0,0,65.63,0,1,1,0,0
2,48.0,0,0,12.57,0,1,0,0,1
3,0.25,1,2,26.54,1,0,0,0,1
3,26.0,0,0,9.37,0,1,0,0,1
3,35.0,0,0,66.86,0,1,0,0,1
2,24.0,0,0,175.7,1,0,0,0,1
3,32.0,0,2,10.66,0,1,0,0,1
2,58.0,0,1,25.93,1,0,0,1,0
1,56.0,1,1,78.69,0,1,1,0,0
2,39.0,0,1,26.48,0,1,0,0,1
2,9.0,0,0,90.56,1,0,1,0,0
2,30.0,0,0,10.51,0,1,0,0,1
2,48.0,1,1,29.16,1,0,0,0,1
2,4.0,1,2,30.51,1,0,0,0,1
2,26.0,0,0,24.11,1,0,0,0,1
2,61.0,0,0,8.87,0,1,0,0,1
2,22.5,2,0,26.84,0,1,0,0,1
3,24.0,0,0,10.55,0,1,0,0,1
3,65.0,0,0,12.13,1,0,0,0,1
1,58.0,0,0,255.18,1,0,1,0,0
1,55.0,0,0,28.5,1,0,0,0,1
2,64.0,0,0,7.65,1,0,0,0,1
1,31.0,0,0,218.76,1,0,1,0,0
2,18.0,0,1,8.56,0,1,0,0,1
1,46.0,1,0,195.8,0,1,0,0,1
3,18.0,3,2,9.75,0,1,0,0,1
2,49.0,0,3,27.98,1,0,1,0,0
2,27.0,0,0,7.36,0,1,0,0,1
3,60.0,0,0,9.81,1,0,0,0,1
1,55.0,0,0,29.92,1,0,1,0,0
1,44.0,1,1,66.88,1,0,0,0,1
3,3.0,1,1,27.72,1,0,0,0,1
2,23.0,0,0,7.71,1,0,0,0,1
2,78.5,2,0,73.86,1,0,1,0,0
1,55.0,0,0,73.85,1,0,0,0,1
1,53.0,1,0,520.84,0,1,1,0,0
2,29.0,0,0,46.86,0,1,0,0,1
3,19.0,0,0,156.6,1,0,0,0,1
3,0.92,1,2,31.76,1,0,1,0,0
2,24.0,0,1,7.37,1,0,0,0,1
2,26.0,0,0,8.74,0,1,0,1,0
1,41.0,1,1,123.06,0,1,0,0,1
1,50.0,1,0,117.63,0,1,0,0,1
1,51.0,0,0,120.53,0,1,1,0,0
1,53.0,0,0,30.16,1,0,1,0,0
2,42.0,0,0,153.96,1,0,0,0,1
2,30.0,1,0,30.81,1,0,1,0,0
1,45.0,0,1,24.07,1,0,0,0,1
3,39.0,0,0,11.77,0,1,0,0,1
1,72.0,0,0,11.27,0,1,0,0,1
1,65.0,1,3,85.79,0,1,0,0,1
3,6.0,0,0,13.05,1,0,0,0,1
3,62.0,0,0,9.02,0,1,0,0,1
1,39.0,1,2,453.6,0,1,0,0,1
1,54.0,0,0,22.83,0,1,0,0,1
3,37.0,0,0,25.98,0,1,0,0,1
3,36.0,0,0,31.7,0,1,0,0,1
3,67.0,2,0,8.14,0,1,1,0,0
2,57.0,0,1,24.52,0,1,0,0,1
2,42.0,0,0,8.8,0,1,0,0,1
1,27.0,2,0,9.65,1,0,0,1,0
1,35.0,0,0,83.72,0,1,1,0,0
1,22.0,0,0,7.79,0,1,0,0,1
2,52.0,4,0,29.68,0,1,0,0,1
2,17.0,1,1,27.76,1,0,0,0,1
2,37.0,0,0,8.75,0,1,1,0,0
3,39.0,0,0,6.18,0,1,0,0,1
3,57.0,0,0,23.96,0,1,0,0,1
2,20.0,0,0,9.84,0,1,0,0,1
1,33.0,0,0,100.51,0,1,0,0,1
1,58.0,0,0,24.64,1,0,0,1,0
1,47.0,1,0,79.96,1,0,1,0,0
2,25.0,0,0,7.71,0,1,0,0,1
1,47.0,0,0,190.99,1,0,1,0,0
1,46.0,0,1,80.82,0,1,0,0,1
1,22.0,1,0,32.74,1,0,1,0,0
2,21.0,0,0,17.75,1,0,1,0,0
3,5.0,0,0,11.2,0,1,0,0,1
3,51.0,4,0,26.03,0,1,0,0,1
2,66.0,0,2,11.52,1,0,0,0,1
1,45.0,0,0,86.85,1,0,1,0,0
3,72.0,0,0,10.64,1,0,0,0,1
1,50.0,0,1,33.28,0,1,0,0,0
2,58.0,0,0,12.0,0,1,0,0,1
3,40.0,0,0,20.95,0,1,0,0,1
3,5.0,1,1,30.7,0,1,0,0,1
3,26.0,0,0,10.22,0,1,0,0,1
3,56.0,0,0,10.0,0,1,0,0,1
2,59.0,0,2,8.61,1,0,0,0,1
3,22.0,0,0,7.58,0,1,0,0,1
2,51.0,0,1,28.51,1,0,1,0,0
2,27.0,0,0,6.18,1,0,0,0,1
3,35.0,0,0,6.5,0,1,0,0,1
1,45.0,0,0,70.38,0,1,1,0,0
3,56.0,0,0,29.22,1,0,1,0,0
3,49.0,0,0,6.82,1,0,1,0,0
2,24.0,0,1,7.64,0,1,0,0,1
2,60.0,0,0,30.21,0,1,0,0,1
2,25.0,0,0,7.87,0,1,0,0,1
1,63.0,0,0,11.16,1,0,0,0,0
3,25.0,0,0,11.5,0,1,0,0,1
2,34.0,0,0,9.67,0,1,0,0,1
2,23.0,0,0,5.61,0,1,0,0,1
3,61.0,0,0,13.1,0,1,0,0,1
3,69.0,0,0,9.78,0,1,0,0,1
1,58.0,3,2,97.69,1,0,0,1,0
1,54.0,0,0,288.34,0,1,1,0,0
3,7.0,0,1,17.54,1,0,0,0,1
1,61.0,1,0,180.65,1,0,0,1,0
1,56.0,2,2,71.17,0,1,0,1,0
2,32.0,0,0,6.49,0,1,0,0,1
2,57.0,0,0,11.22,0,1,0,0,1
2,48.0,0,0,7.87,0,1,0,0,1
1,30.0,1,0,14.31,0,1,1,0,0
3,39.0,0,0,21.64,0,1,0,0,1
2,23.0,0,0,12.98,1,0,1,0,0
3,56.0,0,0,10.17,0,1,0,0,1
1,68.0,0,0,228.63,0,1,0,1,0
3,29.0,0,0,7.51,0,1,0,0,1
1,46.0,0,0,26.75,1,0,0,0,1
1,53.0,1,0,78.63,1,0,0,0,1
1,51.0,0,0,216.38,1,0,0,1,0
3,21.0,0,4,10.76,0,1,0,0,1
3,23.0,1,2,84.5,0,1,0,0,1
2,36.0,0,0,7.86,0,1,0,0,1
3,5.0,2,0,23.04,0,1,1,0,0
1,61.0,0,0,261.06,1,0,0,0,1
2,57.0,0,0,8.91,1,0,0,0,1
3,39.0,0,3,26.28,0,1,0,0,1
3,28.0,0,0,28.83,1,0,0,0,1
3,30.0,0,0,74.43,0,1,0,0,1
1,57.0,0,0,481.13,0,1,0,1,0
3,50.0,0,1,11.41,0,1,0,0,1
3,53.0,0,0,25.3,0,1,0,0,1
1,29.0,0,2,365.47,0,1,1,0,0
3,23.0,0,0,21.54,1,0,0,1,0
2,35.0,0,0,7.12,0,1,0,0,1
1,51.0,0,0,21.9,1,0,1,0,0
3,26.0,0,0,9.8,1,0,0,0,1
2,42.0,0,1,26.69,0,1,0,0,1
3,24.0,0,0,31.51,1,0,0,0,1
3,25.0,0,0,6.15,0,1,0,0,1
3,23.0,0,0,35.66,1,0,1,0,0
2,39.0,2,1,25.49,0,1,0,0,1
3,37.0,0,0,7.49,1,0,0,0,1
2,22.0,0,0,16.91,0,1,1,0,0
2,63.0,0,0,25.13,1,0,0,0,1
3,28.0,0,0,9.25,0,1,0,0,1
1,5.0,2,0,26.96,1,0,0,0,1
3,51.0,0,0,11.32,0,1,0,0,1
2,55.0,0,0,28.19,0,1,0,0,1
2,25.0,0,0,12.56,0,1,0,0,1
3,24.0,3,0,13.51,0,1,0,0,1
3,45.0,1,0,29.06,0,1,0,0,1
2,12.0,0,0,11.01,1,0,1,0,0
1,37.0,1,0,88.21,0,1,0,0,1
1,60.0,1,1,215.05,1,0,1,0,0
1,45.0,0,0,25.34,1,0,0,0,1
1,47.0,0,0,74.37,1,0,1,0,0
3,31.0,0,0,8.06,0,1,0,0,1
3,40.0,1,2,26.28,1,0,0,0,1
3,21.0,0,0,13.54,0,1,0,0,1
1,44.0,1,0,119.56,0,1,0,0,1
3,0.42,1,1,28.99,0,1,0,0,1
1,39.0,0,0,25.03,0,1,1,0,0
2,56.0,1,1,12.72,1,0,0,0,1
3,8.0,0,0,12.1,1,0,0,0,1
3,57.0,0,1,13.21,1,0,0,0,1
3,52.0,0,0,8.15,0,1,0,0,1
1,67.0,0,0,93.73,1,0,0,1,0
3,37.0,0,0,10.46,0,1,0,0,1
3,39.0,0,0,5.1,0,1,0,0,1
2,38.0,0,1,11.15,1,0,0,0,1
2,22.0,0,0,6.41,0,1,0,0,1
3,22.0,0,0,31.17,0,1,0,0,1
3,62.0,1,1,39.21,1,0,1,0,0
3,24.0,0,0,11.02,0,1,0,0,1
1,58.0,0,0,34.32,1,0,1,0,0
3,51.0,0,0,12.94,0,1,0,0,1
1,53.0,1,0,62.21,0,1,0,0,1
2,44.0,0,0,11.44,1,0,1,0,0
2,38.0,0,0,18.33,0,1,1,0,0
3,23.0,0,0,5.5,0,1,0,0,1
3,39.0,0,0,11.75,1,0,0,0,1
3,51.0,0,0,8.05,0,1,0,0,1
1,55.0,0,0,83.56,1,0,0,0,1
3,32.0,0,0,10.42,0,1,0,0,1
3,66.0,0,0,6.76,0,1,0,0,1
1,63.0,0,0,208.41,1,0,1,0,0
3,60.0,0,0,27.25,1,0,0,0,1
3,6.0,1,1,33.12,1,0,0,0,1
1,59.0,1,2,33.39,1,0,0,0,1
1,83.0,0,0,22.74,1,0,0,0,1
3,35.0,0,0,18.93,1,0,1,0,0
3,63.0,3,0,23.93,1,0,0,0,1
2,70.0,2,0,42.11,0,1,0,0,1
3,45.0,0,0,6.08,0,1,0,0,1
2,11.0,0,1,27.47,1,0,1,0,0
1,35.0,0,0,34.63,0,1,1,0,0
1,58.0,0,0,8.55,0,1,0,0,1
1,68.0,0,0,151.79,1,0,1,0,0
2,40.0,0,0,14.77,0,1,0,0,1
2,23.0,0,0,31.47,1,0,0,0,1
1,51.0,0,0,56.0,1,0,1,0,0
1,45.0,0,0,23.47,1,0,0,0,1
1,32.0,1,0,224.24,0,1,0,0,1
1,55.0,0,0,26.51,1,0,1,0,0
2,17.0,0,0,8.92,1,0,1,0,0
3,31.0,0,0,25.59,0,1,0,0,1
2,9.0,1,2,13.43,1,0,0,0,1
3,53.0,0,0,7.43,0,1,0,0,1
2,4.0,0,1,32.0,1,0,0,0,1
1,36.0,0,0,28.92,0,1,0,0,1
3,24.0,1,2,30.58,1,0,0,0,1
2,22.0,0,0,6.61,0,1,0,0,1
3,59.0,8,0,28.98,0,1,0,0,1
2,36.0,0,0,24.76,0,1,0,0,1
3,24.0,0,0,10.17,0,1,1,0,0
2,39.0,0,1,30.24,1,0,0,0,1
3,57.0,0,0,11.94,1,0,1,0,0
3,38.0,0,0,7.81,0,1,1,0,0
1,42.0,1,0,24.35,0,1,0,0,1
3,27.0,0,0,26.58,0,1,0,0,1
2,39.0,0,0,12.12,1,0,0,0,1
3,31.0,0,0,11.1,0,1,0,0,1
3,67.0,0,0,20.6,1,0,0,0,1
2,31.0,0,0,19.5,0,1,0,0,1
3,72.0,0,0,10.45,1,0,0,0,1
3,47.0,2,1,33.37,1,0,0,0,1
1,17.0,0,0,82.34,1,0,1,0,0
3,31.0,0,2,8.18,0,1,0,0,1
3,4.0,1,2,30.06,1,0,0,0,1
1,57.0,0,0,34.05,1,0,0,0,1
3,17.0,0,0,12.09,0,1,0,0,1
2,50.0,0,2,23.02,1,0,0,0,1
2,24.0,0,0,182.07,0,1,0,0,1
3,37.0,0,0,8.69,0,1,0,0,1
1,49.0,1,2,33.62,1,0,0,0,1
3,48.0,0,0,8.15,0,1,0,0,1
2,49.0,1,1,36.89,1,0,0,0,1
1,41.0,0,0,60.41,1,0,0,1,0
3,49.0,0,0,8.49,0,1,0,0,1
1,67.0,0,0,25.62,1,0,0,0,1
1,54.0,0,0,29.96,1,0,1,0,0
1,55.0,0,2,37.45,1,0,1,0,0
2,40.0,0,0,13.91,1,0,0,0,1
3,30.0,0,0,6.78,0,1,0,0,1
2,31.0,0,0,28.08,1,0,0,0,1
3,3.0,1,2,30.72,0,1,0,0,1
2,56.0,1,1,32.68,1,0,0,0,1
3,22.0,0,0,25.99,0,1,0,0,1
1,58.0,0,0,252.75,1,0,1,0,0
