OverallQual,BsmtQual_Ex,LandSlope_Gtl,GarageCars,Exterior2nd_CmentBd,KitchenQual_Ex,GrLivArea
7,0,0,3,0,0,2646
6,0,1,2,0,0,1429
6,0,1,2,0,0,2872
4,0,1,0,0,0,1768
5,0,1,2,0,0,1362
8,0,1,2,1,0,1496
6,0,1,2,0,0,1252
5,0,1,1,0,0,900
8,1,1,3,0,0,2028
4,0,0,2,0,0,1040
8,0,1,2,0,0,2169
8,0,1,2,0,0,2417
10,1,1,3,1,1,1718
6,0,1,2,0,0,1445
8,1,1,3,0,0,1836
7,0,1,2,0,0,1861
5,0,1,2,0,0,1144
5,0,1,1,0,0,924
6,0,1,1,0,0,1383
6,0,1,2,0,0,1977
5,0,1,1,0,0,1096
8,1,1,3,0,1,1630
6,0,1,1,0,0,958
7,1,0,2,0,0,1530
8,1,1,2,0,0,1660
5,0,1,1,0,0,1134
6,0,1,2,0,0,848
5,0,1,2,0,0,1721
8,1,1,3,0,0,1795
4,0,0,2,0,0,1663
5,0,1,2,0,0,1486
7,0,1,2,0,0,1718
7,0,1,3,0,0,2243
4,0,1,2,0,0,2290
5,0,1,2,0,0,1252
5,0,1,0,0,0,1200
7,0,1,2,0,0,1768
7,0,1,2,0,0,1484
6,0,1,2,0,0,1092
5,0,1,1,0,0,1246
8,0,1,1,0,0,1666
8,0,1,2,1,1,1659
4,0,1,1,1,0,630
7,0,1,3,0,0,2196
7,0,1,2,0,0,2013
8,0,1,3,1,1,1578
6,0,1,2,0,0,1709
5,0,1,1,0,0,1214
5,0,1,1,0,0,1276
9,1,1,3,0,1,2234
7,0,1,2,0,0,2157
6,0,1,2,0,0,1236
7,0,1,3,0,0,2344
4,0,1,2,0,0,864
5,0,1,2,0,0,768
5,0,1,1,0,0,1092
6,0,1,1,0,0,1118
5,0,1,2,0,0,860
6,0,1,2,0,0,2134
6,0,1,2,0,0,1440
7,0,1,2,0,0,2207
6,0,1,2,0,0,1479
8,0,1,2,0,0,1566
6,0,1,1,0,0,1928
6,1,1,2,0,0,1337
6,0,0,2,0,0,988
5,0,1,2,0,0,1539
5,0,1,1,0,0,816
4,0,1,0,0,0,1092
6,0,1,2,0,0,1593
6,0,1,2,0,0,1425
6,0,1,2,0,0,2112
5,0,1,1,0,0,864
5,0,1,1,0,0,1188
5,0,1,0,0,0,698
7,0,1,2,0,0,1217
4,0,1,2,0,0,1132
7,0,1,2,0,0,1479
7,0,1,2,0,0,2256
7,0,1,2,0,0,1173
5,0,1,1,0,0,616
5,0,1,1,0,0,773
5,0,1,1,0,0,1696
7,0,0,2,0,0,1524
5,0,1,1,0,0,912
6,0,1,2,0,0,1309
7,0,1,2,0,0,1436
7,0,1,2,0,0,1337
6,0,1,2,0,0,1913
5,0,1,2,0,0,1647
7,0,1,2,0,0,1555
3,0,1,1,0,0,720
5,0,1,2,0,0,1920
5,0,1,2,0,0,1039
7,0,1,3,0,0,1962
4,0,1,2,0,0,864
6,0,1,1,0,0,1578
5,0,1,1,0,0,1034
7,0,1,2,0,0,1220
5,0,1,1,0,0,2372
5,0,1,1,0,0,835
6,0,1,2,0,0,1476
6,0,1,2,0,0,1638
7,0,1,2,0,0,1501
7,0,1,2,0,0,1314
8,0,1,2,0,1,1494
8,1,1,3,0,1,2078
5,0,1,2,0,0,1002
7,0,1,2,0,0,1200
7,0,1,3,1,0,1958
7,0,1,2,0,0,1604
6,0,1,1,0,0,1431
6,0,1,2,0,0,1600
5,0,1,2,0,0,1065
7,0,1,2,0,0,1971
7,0,1,3,1,0,3493
8,0,1,3,0,0,3238
7,0,1,2,0,0,1733
5,0,0,2,0,0,1126
7,0,1,3,0,0,1670
5,0,1,2,0,0,1620
6,0,1,1,0,0,987
8,0,1,2,0,0,2872
7,0,1,2,0,0,1767
6,0,1,1,0,0,864
5,0,1,1,0,0,1339
6,0,1,0,0,0,816
4,0,1,2,0,0,1121
5,0,1,2,0,0,1779
6,1,1,2,0,0,1961
4,0,1,1,0,0,747
5,0,1,2,0,0,1868
6,0,1,2,0,0,1500
7,0,1,2,0,0,1983
7,0,1,2,0,0,1923
8,1,1,3,0,0,2376
6,0,1,2,1,0,1664
5,0,1,1,0,0,912
7,0,1,2,0,1,2110
7,0,1,2,0,0,2022
6,0,1,2,0,0,1586
5,0,0,2,0,0,902
6,0,1,0,0,0,1355
5,0,1,1,0,0,1387
8,0,1,3,0,1,2098
7,0,1,3,0,0,2046
5,0,1,2,0,0,914
3,0,1,0,0,0,1306
5,0,1,1,0,0,912
6,0,1,2,0,0,1324
7,0,1,2,0,0,1208
9,1,1,3,1,1,2121
7,0,1,2,0,0,1382
9,1,1,3,0,0,1922
6,0,1,2,0,0,1470
6,0,1,2,0,0,1291
3,0,1,2,0,0,1040
4,0,1,1,0,0,1317
7,1,1,3,0,0,1402
6,0,1,1,0,0,1218
10,1,1,3,1,1,2296
6,1,1,2,0,0,1756
5,0,1,1,0,0,990
5,0,1,0,0,0,1964
6,0,1,2,0,0,1790
6,0,1,3,0,0,2624
8,0,1,3,0,0,1959
4,0,1,1,0,0,1154
9,1,1,3,0,1,3140
7,0,1,2,0,0,1302
7,0,1,2,0,0,2090
5,0,1,1,0,0,1904
7,0,0,1,0,0,1502
10,1,1,3,1,1,4676
5,0,1,1,0,0,1472
5,0,1,1,0,0,894
8,0,1,2,0,0,1228
6,0,1,2,0,0,1635
5,0,1,2,0,0,894
7,0,1,2,0,0,1982
9,1,1,3,0,1,1746
9,0,1,3,0,1,2504
7,0,1,2,0,0,1266
7,0,1,2,0,0,1872
7,0,1,2,0,1,1428
7,0,1,2,0,0,2784
5,0,1,2,0,0,893
7,0,1,2,0,0,854
7,0,1,2,0,0,1660
5,0,1,1,0,0,1040
6,0,1,2,0,0,1229
6,0,1,1,0,0,1138
5,0,1,2,0,0,2274
6,0,1,1,0,0,1494
4,0,1,0,0,0,1192
5,0,1,1,1,0,1302
8,1,1,3,0,0,1776
6,0,1,2,0,0,848
5,0,1,2,0,0,894
7,0,1,2,0,0,1768
7,1,1,3,0,0,2127
5,0,1,0,0,0,858
5,0,1,0,0,0,2200
8,0,0,2,0,0,1625
5,0,1,1,0,0,1340
6,0,1,1,0,0,1224
6,0,1,2,0,0,848
8,1,1,3,0,1,1968
5,0,1,3,0,0,1344
5,0,1,1,0,0,1513
6,0,1,0,0,0,2229
6,0,1,2,0,0,848
10,1,1,3,0,1,2402
5,0,1,2,0,0,1535
1,0,0,0,0,0,904
7,0,1,2,0,0,1472
7,0,1,2,0,0,2295
7,0,1,2,0,0,1720
6,0,1,1,0,0,1396
8,1,1,3,0,0,2473
5,0,1,1,0,0,1150
5,0,1,1,0,0,1200
7,0,1,2,0,0,1852
5,0,1,1,0,0,1148
5,0,0,2,0,0,1687
6,0,1,2,0,0,1348
5,0,1,2,0,0,1264
5,0,1,2,0,0,1576
8,0,1,3,0,0,1574
4,0,1,1,0,0,1374
6,0,1,2,0,0,1644
8,1,1,2,0,0,2810
8,0,0,2,0,0,2132
3,0,1,1,0,0,864
9,0,1,3,0,0,1668
8,0,1,0,0,0,2358
7,0,0,2,0,0,2036
7,0,1,2,0,0,1349
6,0,1,2,0,0,1617
6,0,1,2,0,0,1548
7,0,1,1,0,0,1820
5,0,1,1,0,0,1336
7,0,1,2,0,0,2031
4,0,1,2,0,0,1208
5,0,1,1,0,0,1795
5,0,1,2,0,0,894
5,0,1,1,0,0,1319
6,0,1,1,0,0,1152
7,0,1,2,0,0,2093
8,0,1,3,0,0,2113
5,0,1,0,0,0,864
4,0,1,2,0,0,1067
6,0,1,2,0,0,2060
5,0,1,0,1,0,1517
4,0,1,1,0,0,1056
5,0,1,1,0,0,1393
7,0,1,2,0,0,1223
7,0,1,2,0,0,1405
8,0,1,3,0,0,1580
7,0,1,2,0,0,1456
8,0,1,2,0,0,1742
5,0,1,1,0,0,1056
7,0,1,2,0,0,1430
7,0,1,2,0,0,1922
7,0,1,2,0,0,2110
5,0,1,1,0,0,1134
5,0,0,1,0,0,2192
6,0,1,2,0,0,1844
7,0,1,2,1,0,1550
5,0,1,1,0,0,1144
7,0,1,2,0,0,1776
5,0,1,1,0,0,1077
9,1,1,3,0,1,1940
7,0,1,2,0,0,1370
8,0,0,2,0,0,2727
6,0,1,1,0,0,752
6,0,1,1,0,0,1217
9,1,1,3,1,1,2018
5,0,1,2,0,0,1057
8,0,0,2,0,0,1517
7,1,1,3,0,1,2696
6,0,1,2,0,0,1279
7,0,1,2,0,0,1725
8,0,1,2,0,0,1088
6,0,1,1,0,0,1616
5,0,1,2,0,0,882
5,0,1,1,0,0,1363
6,0,1,2,0,0,1218
6,0,1,2,0,0,2345
8,0,1,3,1,0,2000
4,0,1,0,0,0,1294
6,0,1,2,0,0,1516
5,0,1,2,0,0,1297
8,0,1,3,0,0,1646
5,0,1,1,0,0,1053
8,0,1,3,0,0,1694
6,0,1,2,0,0,1118
4,0,1,0,0,0,605
5,0,1,1,1,0,1112
4,0,1,2,0,0,1040
8,1,1,3,0,0,1718
8,0,1,2,0,0,1719
8,0,1,2,0,0,1370
7,0,1,2,0,0,1720
6,0,1,2,0,0,1796
5,0,1,1,0,0,1716
5,0,1,2,0,0,2601
5,0,1,1,0,0,864
6,0,1,1,0,0,1125
8,0,1,3,0,0,1636
7,0,1,1,0,0,1108
6,0,1,2,0,0,1824
7,0,1,1,0,0,1426
9,1,1,3,0,1,2364
6,0,1,2,0,0,1481
5,0,1,1,0,0,768
7,0,0,2,0,0,2062
6,0,0,1,0,0,2320
9,1,1,2,0,1,1800
7,0,1,3,0,0,1240
6,0,1,2,0,0,1054
7,0,1,2,0,0,1490
5,0,0,2,0,0,816
8,1,1,3,0,0,1710
5,0,1,1,0,0,1328
7,0,1,2,0,0,1266
6,0,1,1,0,0,2447
6,0,1,2,0,0,1912
7,0,1,2,0,0,1432
6,0,1,2,0,0,1350
5,0,0,2,0,0,1389
7,1,1,2,0,0,1680
5,0,1,1,0,0,1211
5,0,1,1,0,0,1422
7,0,1,2,0,0,1248
8,0,1,3,0,0,1787
6,0,1,1,0,0,1258
6,0,1,2,0,0,1484
7,0,1,2,0,0,2084
8,0,1,2,0,0,1324
6,0,1,2,0,0,1298
5,0,1,0,0,0,1716
8,1,1,3,0,0,1800
6,0,1,2,0,0,1671
5,0,1,2,0,0,1392
5,0,1,2,0,0,1728
7,0,1,2,0,0,1442
5,0,1,2,0,0,2020
5,0,1,1,0,0,1099
6,0,1,1,0,0,1577
6,0,1,1,0,0,1369
3,0,1,2,0,0,1733
5,0,1,3,0,0,1776
6,0,1,2,0,0,1683
4,0,1,0,1,0,630
4,0,1,1,0,0,1510
8,0,1,3,0,0,2198
5,0,1,2,1,0,1060
8,0,1,2,0,0,2452
6,0,1,2,0,0,1743
5,0,1,1,0,0,955
6,0,1,1,0,0,1632
5,0,1,2,0,0,1734
6,0,1,2,0,0,2058
3,0,1,0,0,0,864
8,1,1,3,0,0,1704
9,1,1,3,0,1,2224
6,0,1,2,0,0,1489
8,1,1,3,0,0,2828
7,0,1,2,0,0,1978
6,0,1,1,0,0,918
6,0,1,2,0,0,2158
8,1,0,2,1,0,1646
7,0,1,2,0,0,1535
5,0,1,1,0,0,1008
8,0,1,2,0,0,1441
5,0,1,1,0,0,1867
5,0,1,1,0,0,1268
6,0,0,1,0,0,1660
6,0,1,2,0,0,2201
7,0,1,2,0,0,1250
7,0,1,1,0,0,1111
5,0,0,2,0,0,1360
5,0,1,2,0,0,1125
9,1,1,3,0,1,1905
6,0,1,2,0,0,1362
6,0,1,2,0,0,1199
6,1,0,2,0,0,2555
5,0,1,1,0,0,1040
8,0,1,3,0,0,2285
6,0,1,1,0,0,1487
5,0,1,2,0,0,825
7,0,1,2,0,0,1541
5,0,1,1,0,0,1144
7,0,1,2,0,0,1164
4,0,1,2,0,0,864
6,0,1,1,0,0,2526
4,0,1,2,0,0,1005
6,0,1,2,0,0,1610
5,0,1,1,0,0,1383
4,0,1,1,0,0,845
4,0,1,2,0,0,1181
5,0,1,1,0,0,1248
7,0,1,2,0,0,1525
8,0,1,3,0,0,1826
7,0,1,2,0,0,1621
5,0,1,2,0,0,1287
6,0,1,1,0,0,1647
8,0,1,2,0,0,1844
7,0,1,2,0,0,1573
7,0,0,2,0,0,1644
5,0,1,2,0,0,1728
6,0,1,2,0,0,1344
7,0,1,2,0,0,1582
7,0,1,2,0,0,1710
8,0,1,2,0,0,1989
6,0,1,2,0,0,1456
5,0,1,2,0,0,1230
6,0,1,2,0,0,1710
5,0,1,1,1,0,1304
6,0,1,2,0,0,1848
7,0,1,2,0,0,1576
8,0,1,3,0,0,2612
6,0,0,1,0,0,1012
7,0,1,2,0,0,1456
7,0,1,2,0,0,1920
4,0,1,0,0,0,788
5,0,1,2,0,0,954
4,0,1,2,0,0,864
4,0,1,1,0,0,968
5,0,1,2,0,0,1235
5,0,1,2,0,0,1382
8,0,1,3,0,0,2270
4,0,1,1,1,0,988
5,0,1,0,0,0,1020
7,0,1,2,0,0,2978
6,0,1,2,0,0,1498
7,0,1,3,0,0,1500
3,0,1,2,0,0,1040
8,0,1,2,0,0,1739
3,0,1,2,0,0,944
6,0,1,2,0,0,1224
7,0,1,2,1,1,999
5,0,1,1,0,0,789
7,0,1,2,0,0,1724
7,0,1,2,0,0,1414
4,0,0,1,0,0,1178
5,0,1,1,0,0,899
6,0,1,2,0,0,1571
5,0,1,1,0,0,1784
5,0,1,1,0,0,1507
5,0,1,2,1,0,1142
6,0,1,1,0,0,1113
7,0,1,2,0,0,1135
3,0,1,1,0,0,1605
5,0,1,1,0,0,780
6,0,1,2,0,0,1572
6,0,1,2,0,0,1734
6,0,1,2,0,0,1456
6,0,1,1,0,0,864
7,0,1,2,0,0,1948
4,0,1,1,0,0,930
8,0,1,3,0,0,1629
6,0,1,1,0,0,790
7,0,1,2,0,0,1728
7,0,1,2,0,0,1482
9,1,1,3,0,1,2324
7,0,1,1,0,0,2057
6,0,1,1,0,0,987
6,0,1,2,0,0,1114
4,0,1,2,0,0,1258
5,0,1,2,0,0,900
4,0,1,1,0,0,960
9,1,1,3,0,1,2713
6,0,1,2,0,0,1556
5,0,1,1,0,0,1440
7,0,1,2,0,0,1232
5,0,1,2,0,0,1604
6,0,1,3,0,0,1933
5,0,1,2,0,0,1130
5,0,1,1,0,0,816
4,0,1,1,0,0,2230
6,0,1,2,0,0,1800
5,0,1,1,0,0,1812
4,0,1,2,0,0,845
7,0,1,2,0,1,1902
4,0,1,1,0,0,1738
5,0,1,1,0,0,1652
5,0,1,2,0,0,1960
5,0,1,0,1,1,630
5,0,1,2,0,0,1078
6,0,1,2,0,0,1212
6,0,1,2,0,0,1194
4,0,1,1,0,0,1346
4,0,1,1,0,0,1229
8,0,1,3,0,0,2262
5,0,1,2,0,0,1154
6,0,1,2,0,0,720
5,0,1,2,0,0,990
4,0,1,2,0,0,1131
7,0,1,2,0,0,1601
6,0,1,2,0,0,1080
7,0,1,1,0,1,1826
5,0,1,2,0,0,1155
6,0,1,1,0,0,1595
7,0,1,0,0,0,1080
5,0,1,2,0,0,894
10,1,1,3,1,1,2084
5,0,1,2,0,0,1484
6,0,1,2,0,0,1484
6,0,1,2,0,0,981
5,0,1,0,0,0,1522
6,0,1,1,0,0,987
6,0,1,2,0,0,2030
4,0,1,1,0,0,948
7,0,1,2,0,0,1509
8,0,1,2,0,0,1419
6,0,1,2,0,0,1165
5,0,1,2,0,0,952
5,0,1,2,0,0,1437
7,0,1,2,0,0,1744
6,0,1,2,0,0,1337
5,0,0,2,0,0,2126
7,0,1,2,0,0,1710
5,0,1,1,0,0,1344
7,0,1,2,0,0,1929
7,0,1,2,0,0,1274
5,0,1,2,0,0,1122
5,0,1,2,0,0,1250
6,0,1,2,0,0,2614
7,0,1,2,0,0,1314
5,0,1,2,0,0,1365
7,0,1,3,0,0,1689
8,0,1,2,1,0,1314
5,0,1,1,0,0,904
8,0,1,3,0,0,2531
7,0,1,2,0,0,2019
10,1,1,3,0,1,2007
6,0,1,2,0,0,848
7,0,1,3,0,0,1552
8,0,1,3,0,0,1571
5,0,0,2,0,0,1786
5,0,1,2,0,0,1920
6,0,1,2,0,0,2358
6,0,1,1,0,0,1310
5,0,0,2,0,0,1044
6,0,1,2,0,0,2087
6,0,1,1,0,0,1194
5,0,1,2,0,0,1188
8,1,1,3,0,0,2046
5,0,1,1,0,0,1576
7,0,1,2,0,0,2090
6,1,1,2,0,0,1204
7,1,1,2,0,0,1372
7,0,1,2,0,0,1442
6,0,1,1,0,0,987
6,0,1,2,0,0,1392
7,0,1,2,0,0,3082
4,0,1,1,0,0,841
5,0,1,2,0,0,1327
5,0,1,2,0,0,1394
9,1,1,2,0,1,1684
6,0,1,1,0,0,1244
5,0,1,1,0,0,1314
6,0,1,2,0,0,1176
8,0,1,3,0,0,1468
5,0,1,1,0,0,1601
8,0,1,3,0,0,1563
7,0,1,2,0,0,2034
5,0,1,1,0,0,792
6,0,1,1,0,0,1251
3,0,0,2,0,0,1699
5,0,1,2,0,0,858
8,0,1,2,0,0,1665
6,0,1,2,0,0,1700
8,0,1,2,0,0,1554
6,0,1,2,0,0,848
5,0,1,2,0,0,1803
6,0,1,2,0,0,1458
10,1,1,3,0,1,4476
8,1,1,3,0,1,2097
4,0,1,2,0,0,1128
6,0,1,2,0,0,1362
7,0,1,2,0,0,1459
9,1,1,3,0,1,1856
5,0,1,1,0,1,691
6,0,1,2,0,0,1902
4,0,1,1,0,0,1123
4,0,1,2,0,0,1040
9,1,1,2,0,1,1652
5,0,1,2,0,0,2337
8,0,1,2,0,0,1502
4,0,1,1,0,0,1788
7,0,1,2,0,0,1414
8,0,1,3,0,0,2630
6,0,1,2,0,0,848
5,0,1,2,0,0,1302
6,0,1,2,0,0,1069
7,0,1,2,0,0,1928
7,0,1,2,0,0,1504
7,0,1,2,0,0,1434
5,0,0,1,0,0,1073
6,0,1,2,0,0,1537
6,0,1,2,0,0,1478
6,0,1,2,0,0,1868
6,1,1,2,0,0,1216
6,0,1,2,0,0,1855
8,0,1,2,0,0,1911
4,0,1,1,0,0,1328
4,0,1,4,0,0,872
7,1,0,2,0,0,2260
10,1,1,3,0,1,2332
3,0,1,0,0,0,729
4,0,1,0,0,0,708
7,0,1,1,0,0,1389
8,0,1,3,0,0,1588
5,0,1,1,0,0,1050
7,0,1,2,0,0,1797
6,0,1,2,0,0,958
5,0,1,1,0,0,1192
9,1,1,3,1,1,2728
5,0,1,0,0,0,1347
8,0,1,3,0,0,1466
5,0,1,1,0,0,1520
7,0,1,2,0,0,1504
8,0,1,2,0,0,1795
5,0,1,2,0,0,1178
9,1,1,2,0,1,1561
7,1,1,2,0,0,1560
4,0,0,2,0,0,936
5,0,1,1,0,0,1008
7,0,1,3,0,0,2097
6,0,1,2,0,0,1441
6,0,1,2,0,0,1664
7,0,1,2,0,0,2462
4,0,1,0,0,0,858
7,0,1,2,0,0,2082
6,0,1,1,0,0,986
5,0,1,0,0,0,1140
5,0,1,1,0,0,827
1,0,0,0,0,0,334
6,0,1,1,0,0,1442
6,0,1,1,0,0,1668
9,0,1,3,0,0,2599
6,0,1,2,0,0,1682
5,0,1,1,0,0,1048
5,0,1,2,0,0,1072
7,0,1,2,0,0,1368
6,0,1,2,0,0,1232
8,0,1,3,0,0,2392
7,0,1,2,0,0,1411
5,0,1,2,0,0,1869
5,0,1,0,0,0,840
8,1,1,2,0,0,1694
7,0,1,2,0,0,2060
8,1,1,3,0,1,2042
6,0,1,1,0,0,2142
5,0,1,1,0,0,902
5,0,1,1,0,0,1656
8,0,1,2,1,0,1338
5,0,1,1,0,0,985
6,0,1,2,0,0,1574
7,0,1,2,0,0,1340
6,0,1,2,0,0,848
7,0,1,2,0,0,1431
8,1,1,2,0,0,1414
7,0,1,1,0,0,1802
