OverallQual,BsmtQual_Ex,LandSlope_Gtl,GarageCars,Exterior2nd_CmentBd,KitchenQual_Ex,GrLivArea
5,0,1,1.0,0,0,896
6,0,1,1.0,0,0,1329
5,0,1,2.0,0,0,1629
6,0,1,2.0,0,0,1604
8,0,1,2.0,0,0,1280
6,0,1,2.0,0,0,1655
6,0,1,2.0,0,0,1187
6,0,1,2.0,0,0,1465
7,0,1,2.0,0,0,1341
4,0,1,2.0,0,0,882
7,0,1,2.0,0,0,1337
6,0,1,1.0,0,0,987
5,0,1,1.0,0,0,1092
6,0,1,2.0,0,0,1456
7,0,1,1.0,0,0,836
9,1,1,3.0,0,1,2334
8,0,1,3.0,0,0,1544
9,1,1,3.0,0,1,1698
8,1,1,3.0,1,1,1822
9,1,0,3.0,0,1,2696
8,0,1,3.0,0,0,2250
8,0,1,2.0,0,0,1370
6,0,1,2.0,0,0,1324
7,0,1,2.0,0,0,1145
7,0,1,2.0,0,0,1374
7,0,1,2.0,0,0,1733
8,1,1,3.0,0,0,2475
8,0,1,3.0,0,0,1595
7,0,1,2.0,0,0,1218
6,1,1,2.0,0,0,1468
7,0,1,2.0,0,0,1659
5,0,1,1.0,0,0,1012
6,0,1,2.0,0,0,1494
8,0,1,3.0,0,0,2349
8,0,1,3.0,0,0,2225
7,1,1,2.0,0,0,1488
7,0,1,2.0,0,0,1680
7,0,1,2.0,0,0,1200
7,0,1,2.0,0,0,1200
6,0,1,2.0,0,0,1236
6,0,1,2.0,0,0,1512
7,0,1,2.0,0,0,1080
8,1,1,3.0,1,0,1418
8,0,1,2.0,0,0,1848
7,0,1,2.0,0,0,1492
6,0,1,2.0,0,0,1829
6,0,1,2.0,0,0,2495
6,0,1,2.0,0,0,1891
6,0,1,2.0,0,0,1645
5,0,1,2.0,0,0,1232
5,0,1,2.0,0,0,1209
5,0,1,2.0,0,0,1510
6,0,1,2.0,0,0,1775
5,0,1,0.0,0,0,1728
5,0,1,2.0,0,0,2461
6,0,1,2.0,0,0,1556
6,0,1,1.0,0,0,1128
5,0,1,2.0,0,0,1604
7,0,1,2.0,0,0,1480
5,0,1,1.0,0,0,1143
5,0,1,1.0,0,0,1206
6,0,1,2.0,0,0,1580
4,0,1,1.0,0,0,1337
5,0,1,1.0,0,0,1064
5,0,1,1.0,0,0,972
5,0,1,1.0,0,0,988
4,0,1,2.0,0,0,985
6,0,1,1.0,0,0,1224
5,0,1,2.0,0,0,1175
6,0,0,2.0,0,0,1395
4,0,1,1.0,0,0,1844
5,0,1,0.0,0,0,936
5,0,0,2.0,0,0,1347
6,0,1,1.0,0,0,1251
5,0,1,1.0,0,0,1633
5,0,1,1.0,0,0,1245
2,0,1,2.0,0,0,832
8,0,1,1.0,0,0,1566
8,0,1,2.0,0,0,2268
5,0,1,0.0,0,0,2256
6,0,1,2.0,0,0,1470
5,0,1,1.0,0,0,1612
7,0,1,1.0,0,0,2068
4,0,1,1.0,0,0,765
6,0,1,1.0,0,0,1132
6,0,1,2.0,0,0,1196
5,0,1,1.0,0,0,1453
6,0,1,1.0,0,0,1416
5,0,1,2.0,0,0,1040
5,0,1,2.0,0,0,1536
6,0,1,1.0,0,0,1068
4,0,1,2.0,0,0,1962
6,0,1,0.0,0,0,1560
6,0,1,1.0,0,0,1324
5,0,1,1.0,0,0,1675
5,0,1,1.0,0,0,1224
5,0,1,0.0,0,0,1392
6,0,0,1.0,0,0,919
4,0,1,0.0,0,0,1884
5,0,1,2.0,0,0,1680
4,0,1,0.0,0,0,1832
5,0,1,1.0,0,0,892
5,0,1,1.0,0,0,864
5,0,1,2.0,0,0,1373
5,0,1,2.0,0,0,1440
7,0,0,2.0,0,0,1483
4,0,1,2.0,0,0,756
6,0,0,2.0,0,0,1981
3,0,1,1.0,0,0,1610
6,0,1,1.0,0,0,1074
4,0,1,1.0,0,0,1531
5,0,1,1.0,0,0,1172
7,0,1,2.0,0,0,1508
5,0,1,2.0,0,0,1298
7,0,0,2.0,0,0,1433
6,0,1,4.0,0,0,1802
7,0,1,2.0,0,0,1222
6,0,1,2.0,0,0,1445
5,0,1,2.0,0,0,965
7,0,1,2.0,0,0,1692
5,0,1,1.0,1,0,1026
5,0,1,2.0,0,0,876
8,0,1,3.0,1,0,1978
7,0,1,2.0,0,0,2098
6,0,1,2.0,0,0,848
3,0,0,1.0,0,0,640
5,0,1,1.0,0,0,992
5,0,1,1.0,0,0,1196
4,0,1,2.0,0,0,1120
6,0,1,1.0,0,0,1096
4,0,1,0.0,0,0,960
5,0,1,1.0,0,0,1296
6,0,1,2.0,0,0,856
4,0,1,0.0,0,0,2650
5,0,1,0.0,0,0,1666
7,0,1,1.0,0,0,2133
5,0,1,2.0,0,0,2177
7,0,1,2.0,0,0,1652
8,0,0,2.0,0,0,1034
8,0,0,2.0,0,0,1191
2,0,1,1.0,0,0,540
6,0,1,1.0,0,0,1107
4,0,1,1.0,0,0,952
8,1,0,2.0,1,0,1646
8,0,1,3.0,0,0,1916
6,0,1,2.0,0,0,1285
6,0,1,2.0,0,0,2048
7,0,1,3.0,0,0,1346
7,0,1,2.0,0,0,1214
5,0,1,2.0,0,0,1444
5,0,1,2.0,0,0,1264
5,1,1,2.0,0,0,1430
5,0,1,2.0,0,0,1344
5,0,0,1.0,1,0,945
4,0,1,0.0,1,0,1092
4,0,1,0.0,1,0,1092
4,0,1,1.0,1,0,1092
5,0,1,1.0,0,0,874
5,0,1,2.0,0,0,833
5,0,1,2.0,0,0,2432
5,0,1,2.0,0,0,1274
5,0,0,1.0,0,0,1479
8,0,0,2.0,0,0,1803
6,0,1,2.0,0,0,1797
6,0,1,1.0,0,0,882
6,0,1,2.0,0,0,1434
6,0,1,2.0,0,0,1608
8,0,1,3.0,0,0,2283
7,0,1,2.0,0,0,1628
8,1,1,2.0,1,0,2522
8,0,1,2.0,1,0,1478
8,0,1,2.0,1,0,1734
7,0,1,2.0,0,0,1382
6,0,1,2.0,0,0,1636
6,0,1,2.0,0,0,1516
6,0,1,2.0,0,0,1190
5,0,1,2.0,0,0,1934
7,0,1,2.0,0,0,2050
6,0,1,2.0,0,0,1671
7,0,1,2.0,0,0,2673
6,0,1,2.0,0,0,1707
7,0,1,2.0,1,1,1884
8,0,1,2.0,0,0,1874
8,0,1,2.0,0,0,1811
5,0,1,2.0,0,0,1621
6,0,1,2.0,0,0,1116
7,0,1,2.0,0,0,1193
5,0,1,2.0,0,0,1180
5,0,1,1.0,0,0,1050
4,0,1,2.0,0,0,864
4,0,1,2.0,0,0,864
6,0,1,1.0,0,0,987
6,0,1,1.0,0,0,987
6,0,1,2.0,0,0,1548
7,0,1,2.0,0,0,1055
6,0,1,2.0,0,0,1456
6,0,1,2.0,0,0,1548
6,0,1,2.0,0,0,1456
7,0,1,1.0,0,0,836
5,0,1,2.0,0,0,1120
9,1,1,3.0,0,1,2772
9,1,1,3.0,0,1,2690
9,1,1,3.0,0,1,2020
10,1,1,3.0,0,1,2674
9,1,1,3.0,0,1,1736
8,1,1,3.0,0,0,1782
8,1,1,3.0,0,1,2520
9,1,1,3.0,0,1,1743
9,1,1,3.0,0,1,1531
9,1,1,3.0,0,1,1808
7,0,1,2.0,0,0,1760
9,1,1,3.0,0,1,2452
8,0,1,3.0,0,0,2400
8,0,1,3.0,0,0,1606
6,0,1,2.0,0,0,1358
6,0,1,2.0,0,0,1306
7,0,1,2.0,0,0,1358
10,1,0,3.0,1,1,2492
8,1,1,3.0,0,1,2200
9,1,1,2.0,0,1,1884
9,1,1,2.0,0,1,1456
8,1,1,3.0,0,0,1712
7,0,1,2.0,0,0,1405
7,0,1,2.0,0,0,1456
6,0,1,2.0,0,0,1490
7,0,1,2.0,0,0,1220
7,0,1,2.0,0,0,1374
7,0,1,2.0,0,0,1630
7,0,1,2.0,0,0,1594
7,0,1,2.0,0,0,1489
7,0,1,2.0,0,0,1342
8,1,1,3.0,0,0,2004
7,0,1,2.0,0,0,1374
6,0,1,2.0,0,0,1514
7,0,1,2.0,0,0,1430
7,0,1,3.0,0,0,2312
7,0,1,2.0,0,0,1430
8,0,1,3.0,0,0,2687
8,0,1,3.0,0,0,2063
7,0,1,2.0,0,0,2061
8,0,1,2.0,0,0,2232
8,0,1,3.0,0,0,1696
8,0,1,3.0,0,0,1658
8,0,1,3.0,0,0,1702
8,1,1,2.0,0,0,1432
9,1,1,3.0,0,1,2490
7,1,1,2.0,0,0,1436
7,0,1,2.0,0,0,1402
9,0,1,3.0,0,0,1530
8,0,1,2.0,0,0,1448
8,1,1,3.0,0,0,1795
8,0,1,2.0,0,0,1836
7,0,1,3.0,0,1,1662
7,0,1,2.0,0,0,1553
7,0,1,2.0,0,0,1653
7,0,1,2.0,0,0,1218
7,0,1,2.0,0,0,1141
6,0,1,0.0,0,0,1158
7,0,1,2.0,0,0,1812
8,0,1,3.0,0,0,1512
7,0,1,2.0,0,0,1114
