name,pages,price
Book18,284,45512.0018373
Book16,469,75663.1971015
Book7,125,24611.4548266
Book12,291,48496.9749339
Book24,115,23293.8750277
Book28,404,67379.1748748
Book10,417,71261.7437559
Book25,295,40579.4524771
Book13,306,45808.5945755
Book32,317,44695.8722504
Book44,469,71305.9157676
Book27,421,63930.0666635
Book26,221,37208.5464065
Book19,479,71744.4724977
Book27,439,69675.6016789
Book13,309,54025.5767029
Book13,364,58657.9947813
Book20,259,42649.241978
Book15,135,27102.5038098
Book22,328,45217.4223381
Book21,173,32822.3135775
Book21,194,30701.1563406
Book16,480,81308.0064916
Book19,466,63951.9569024
Book5,354,45621.8856769
Book29,293,46130.6835187
Book24,277,43673.1733446
Book22,378,60638.9362322
Book4,470,74931.5395764
Book31,324,47476.2972341
Book10,385,65279.6203142
Book12,233,39560.6293308
Book15,194,34613.6497945
Book33,391,62777.8492628
Book9,266,43683.2725457
Book64,279,46889.2633819
Book22,305,46203.1450657
Book2,148,26184.1187437
Book17,465,72987.3232533
Book19,496,86676.9277131
Book33,372,51991.4931471
Book30,371,58429.7240045
Book14,470,73480.8824348
Book18,260,40591.5062894
Book5,284,42528.6425114
Book24,366,51984.017996
Book30,155,30070.2901899
Book28,498,76405.0797086
Book15,97,21543.8592468
Book34,452,60248.0923669
Book19,237,37330.7345734
Book38,119,24183.1188025
Book5,386,66132.3646258
Book10,376,61742.7295738
Book11,375,56849.7602404
Book11,270,42269.905857
Book24,485,66483.4390223
Book16,312,52306.901396
Book26,404,54871.0405926
Book36,163,30613.1954598
Book23,424,69908.4007437
Book11,228,33997.4111713
Book36,394,67239.4011127
Book19,196,34260.8631122
Book18,494,64692.3476321
Book11,485,69519.4318952
Book21,277,44620.117748
Book26,270,40927.3703499
Book24,134,25315.6655442
Book43,441,66878.176645
Book23,186,32764.6759015
Book32,299,46392.559868
Book26,255,38893.2820881
Book25,343,48155.4957536
Book19,410,67024.8628123
Book9,485,70006.5312548
Book17,440,69577.4270125
Book32,360,58237.1457681
Book29,325,58186.6048307
Book14,279,43633.0249326
Book18,342,50868.5639996
Book20,142,27189.3180833
Book16,335,51923.8483107
Book13,494,72035.2807779
Book23,406,48188.3715555
Book24,150,29461.1942675
Book7,116,24310.6639489
Book17,423,65326.7251269
Book33,264,47789.0012041
Book22,248,37367.5078068
Book14,212,40505.9790463
Book16,111,22968.6636669
Book10,470,62620.134387
Book8,389,58068.0391655
Book6,411,52453.803477
Book13,304,52774.0609841
Book10,305,42312.0203987
Book17,318,48230.6557736
Book19,299,46293.3278503
Book23,358,54548.9969765
Book21,131,26812.6064512
Book16,254,44724.4956159
Book28,227,40082.7820946
Book32,306,48248.7545836
Book2,324,48619.1398304
Book39,174,29799.8295612
Book18,287,44274.0123536
Book6,375,56248.291819
Book41,238,42695.198447
Book16,141,25395.5972136
Book25,147,26555.9607503
Book0,229,35662.5932634
Book7,377,58233.1026837
Book19,384,55447.6272621
Book28,244,40417.4830888
Book0,263,45257.1195675
Book29,218,37736.6319622
Book5,381,60947.1718342
Book22,346,52107.5824447
Book10,135,26633.8540987
Book27,169,31506.9681031
Book20,350,49394.2878592
Book9,382,55559.2416886
Book19,289,49538.4964326
Book19,475,67084.0287883
