Race,Horse,Calculated Winning Probablity,public winning probaility estimate,Expected return for $1,Win dividend,roll
1,1,0.021,0.025,0.68,33,0.01428
1,2,0.125,0.088,1.17,9.3,0.14625
1,3,0.239,0.289,0.69,2.8,0.16491
1,4,0.141,0.134,0.87,6.1,0.12267
1,5,0.066,0.042,1.29,19,0.08514
1,6,0.012,0.013,0.75,61,0.009
1,7,0.107,0.136,0.64,6,0.06848
1,8,0.144,0.089,1.33,9.2,0.19152
1,9,0.019,0.014,1.18,60,0.02242
1,10,0.067,0.066,0.86,12,0.05762
1,11,0.012,0.012,0.83,68,0.00996
1,12,0.028,0.047,0.5,17,0.014
1,13,0.011,0.027,0.32,30,0.00352
1,14,0.009,0.019,0.41,43,0.00369
