Week,Search
2010-06,80
2010-07,52
2010-08,26
2010-09,31
2010-10,33
2010-11,31
2010-12,25
2011-01,30
2011-02,27
2011-03,28
2011-04,31
2011-05,28
2011-06,23
2011-07,22
2011-08,25
2011-09,24
2011-10,31
2011-11,23
2011-12,20
2012-01,25
2012-02,37
2012-03,30
2012-04,31
2012-05,29
2012-06,35
2012-07,27
2012-08,28
2012-09,37
2012-10,36
2012-11,47
2012-12,32
2013-01,33
2013-02,43
2013-03,35
2013-04,52
2013-05,84
2013-06,62
2013-07,65
2013-08,99
2013-09,69
2013-10,73
2013-11,72
2013-12,64
2014-01,60
2014-02,74
2014-03,79
2014-04,69
2014-05,69
2014-06,74
2014-07,71
2014-08,60
2014-09,64
2014-10,81
2014-11,59
2014-12,51
2015-01,64
2015-02,66
2015-03,60
2015-04,69
2015-05,89
2015-06,64
2015-07,63
2015-08,74
2015-09,74
2015-10,76
2015-11,56
2015-12,53
2016-01,49
2016-02,55
2016-03,56
2016-04,100
2016-05,54
2016-06,45
2016-07,40
2016-08,36
2016-09,38
2016-10,40
2016-11,42
2016-12,32
2017-01,38
2017-02,34
2017-03,32
2017-04,37
2017-05,30
2017-06,27
2017-07,32
2017-08,29
2017-09,29
2017-10,29
2017-11,38
2017-12,26
