Name,Start,End,Deaths,WAR
Siege of Leningrad,1941,1944,1740000,WWII
Battle of Stalingrad,1942,1943,1000000,WWII
Battle of Moscow,1941,1941,900000,WWII
Mongol Siege of Baghdad,1258,1258,880000,Mongol Conquests
Battle of Somme,1916,1916,650000,WWI
Battle of Changping,-260,-260,550000,Qin's Wars of Unification
Siege of Changchun,1948,1948,425000,Chinese Civil War
Battle of Passchendaele,1917,1917,417000,WWI
Battle of Lake Poyang,1363,1363,400000,Red Turban Rebellion
Battle of Xu-Beng,1948,1948,362000,Chinese Civil War
Battle of Kiev,1941,1941,330000,WWII
Battle of Verdun,1916,1916,310000,WWI
Battle of Salsu,612,612,302000,Goguryeo-Sui Wars
Rape of Nanking,1937,1938,300000,Second Sino-Japanese Wars
Siege of Budapest,1944,1945,270000,WWII
Battle of Kursk,1943,1943,250000,WWII
Siege of Tenochtitlan,1521,1521,225000,Spanish Conquest of Mexico
Battle of Luzon,1945,1945,213000,WWII
Battle of Didgori,1121,1121,210000,Georgian-Seljuk Wars
Warsaw Uprising,1944,1944,200000,WWII
Tumu Crisis,1449,1449,200000,Ming-Mongol Wars
First Battle of Marne,1914,1914,165000,WWI
Battle of Kalinga,-262,-262,160000,Kalinga-Maurya Empire
Battle of Fei River,383,383,160000,16 Kingdoms Era
Battle of Red Cliffs,208,208,150000,Han Dynasty Collapse
Byzantine-Arab Siege of Constantinople,717,718,150000,Byzantine-Arab Wars
Gorlice-Turnow Offensive,1915,1915,140000,WWI
Battle of Gallipoli,1915,1915,130800,WWI
Second Battle of Marne,1918,1918,125000,WWI
Battle of Yamen,1279,1279,120000,Mongol Conquests
Battle of Catalaunian Plains,451,451,120000,Hunnic Invasion
Battle of Narva,1944,1944,114000,WWII
Timurid Conquest of Delhi,1398,1398,100000,Timur's Indian Campaign
Battle of Terek River,1395,1395,100000,Tokhtamysh-Timur War
Second Battle of Kharkov,1942,1942,95000,WWII
Battle of Arausio,-105,-105,90000,Germanic Wars
Battle of Kulikovo,1380,1380,90000,Mongol Raids against Rus
Battle of Thymbra,-547,-547,90000,Lydian-Persian War
Siege of Port Arthur,1904,1905,89000,Russo-Japanese War
Third Battle of Panipat,1761,1761,80000,Maratha-Afgan Conflict
Battle of Watling Street,61,61,80400,Iceni Revolt
Battle of Borodino,1812,1812,74000,Napoleonic Wars
Battle of Wargram,1809,1809,68000,Napoleonic Wars
Second Siege of Zaragoza,1808,1809,64000,Napoleonic Wars
Battle of Leipzig,1813,1813,60000,Napoleonic Wars
Roman Siege of Jerusalem,70,70,60000,First Jewish-Roman War
Battle of Cannae,-216,-216,59000,Second Punic War
Sasanian Siege of Jerusalem,614,614,55000,Roman-Persian Wars
Battle of Yarmouk,636,636,54000,Byzantine-Arab Wars
First Battle of Ypres,1914,1914,52000,WWI
Tenth Battle of Isonzo,1917,1917,52000,WWI
Battle of Kerch Peninsula,1942,1942,50000,WWII
Battle of Gaugamela,-331,-331,49000,Wars of Alexander The Great
First Iasi-Kishinev Offensive,1944,1944,48000,WWII
Battle of Sekigahara,1600,1600,47000,Sengoku Period
Second Battle of Artois,1915,1915,45000,WWI
Battle of Bulge,1944,1945,42000,WWII
Battle of Las Navas de Tolosa,1212,1212,38000,Reconquista
Battle of Berezina,1812,1812,35000,Napoleonic Wars
Battle of Plataea,-479,-479,34000,Greco-Persian Wars
Battle of Waterloo,1815,1815,32000,Napoleonic Wars
Battle of Teutoburg Forest,9,9,22000,Roman-Germanic Wars
Battle of Thermopylae,-480,-480,18000,Greco-Persian Wars
Battle of Hastings,1066,1066,10000,Norman Conquest of England
Battle of Getysburg,1863,1863,7800,American Civil War
Battle of Little Bighorn,1876,1876,404,American Indian Wars
