,arrivalDate,lengthOfStay,reservationScore,upgradeType,predicted_cost
0,20240128,3,157.34467199796617,10,287.3749695195768
1,20240127,22,167.57118392334507,5,245.58425768778127
2,20240130,21,139.13596412845638,10,447.2820921184609
3,20240130,7,159.78491776356293,1,448.9433522191536
4,20240202,22,129.516351718386,10,715.11855273635
5,20240202,15,88.62436025530145,10,715.501048658996
6,20240204,13,11.339358933299414,10,864.4488895498741
7,20240203,19,44.90177858953104,10,933.8409114722366
8,20240203,12,8.307551137663406,1,884.0718982565677
9,20240130,2,44.13122021806436,5,464.0459241737075
10,20240131,20,23.8716664148538,10,536.6222181068292
11,20240130,15,39.95981915102567,10,447.6596512035755
12,20240203,5,176.0367891353543,10,933.3957045199148
13,20240202,21,28.970040548093795,1,715.11855273635
14,20240126,9,61.95638625686432,10,91.3732248021671
15,20240201,12,74.4415513304224,10,626.5293317821784
16,20240203,9,196.7521061274193,10,872.7609190015125
17,20240131,19,143.09249624890444,1,536.6782350248318
18,20240203,19,76.69970924511152,10,908.7318279181095
19,20240129,14,98.08295474134613,10,268.81831700643374
20,20240128,9,99.79576931870466,10,256.3372683943852
21,20240205,18,107.05859952371573,5,916.1510123927878
22,20240129,5,20.580734292966067,10,237.37931667704655
23,20240201,23,117.96610281157744,10,625.8398874749618
24,20240205,5,156.62358944640678,10,898.4736289550818
25,20240203,23,161.3791546234066,5,880.0765725966226
26,20240201,8,105.50751334974497,10,627.324835370827
27,20240128,18,58.55970962255825,10,265.1255199886754
28,20240202,2,150.4844315138752,10,724.4254712574491
29,20240126,20,116.85755057222866,10,90.13062524226349
30,20240127,15,132.21143051895075,10,298.11307708777645
31,20240205,12,128.75232858820993,10,882.0231414266849
32,20240202,17,109.54094201197418,10,715.3108022644533
33,20240204,11,165.18483262583234,10,884.8112109085782
34,20240203,18,35.647757731482784,10,906.6152599926187
35,20240126,23,80.46386724605232,10,90.12231229638701
36,20240127,11,133.9160797619218,10,276.47393971423685
37,20240205,13,187.42766994458526,10,871.7807391753969
38,20240205,14,84.37061024730761,10,907.4976015215528
39,20240202,12,93.2353147163139,10,715.7498000949613
40,20240202,21,147.73405840017213,10,715.11855273635
41,20240128,17,83.29627120354495,10,268.4596145426475
42,20240205,13,107.52671615906574,10,911.9881166290007
43,20240205,5,97.63235023222016,1,926.498454728529
44,20240126,17,39.729879852332246,10,90.3402590337071
45,20240202,2,198.97839711678367,5,724.4254712574491
46,20240127,12,59.71310082317709,10,266.0926571420841
47,20240128,5,50.9423656067193,10,240.0622796896326
48,20240130,8,102.1637488363397,5,448.7035556762424
49,20240204,13,120.52956224312283,10,897.102431735032
50,20240201,16,14.007865355312664,10,626.1577534816861
51,20240128,6,79.52063904393164,1,221.6366946518026
52,20240203,12,110.35637764310837,10,903.0579832145912
53,20240131,19,70.12132192550969,10,536.6782350248318
54,20240130,3,130.59536243125692,10,451.9159024999844
55,20240205,15,174.27993661711457,10,934.8317338513315
56,20240128,7,134.13544512849256,10,254.5363991736654
57,20240205,1,188.97822967533062,1,867.054110837833
58,20240203,16,89.99330556046229,10,908.0291744399525
59,20240203,3,64.07237097043273,10,850.3173497688939
60,20240202,9,27.011364971299695,10,716.3620514616186
61,20240202,15,46.226655825367146,10,715.5144387230367
62,20240126,15,38.03418215140918,10,90.50588402354575
63,20240202,15,165.38745842025315,10,715.501048658996
64,20240205,19,105.15479136349892,1,921.4956324915895
65,20240203,15,33.28444775071339,10,883.3081543740717
66,20240129,1,183.1029236130016,1,324.90621743090486
67,20240129,20,186.41899016713046,5,254.88777273695322
68,20240204,10,121.97311346589548,10,880.4583614524164
69,20240129,9,160.72601864934637,5,300.3942211538071
70,20240127,14,97.22558369726502,10,270.341454000685
71,20240201,15,112.73543300394522,10,626.2209163416308
72,20240128,1,52.04948242640531,10,245.71723335002574
73,20240205,2,103.01829587586553,10,895.6672210201563
74,20240126,18,61.944470536535725,10,90.30465758790498
75,20240129,5,199.34267391674237,5,286.26501370157337
76,20240130,18,155.34675833414016,10,447.4399336476501
77,20240201,1,152.69474182054654,10,636.9303253033946
78,20240131,8,196.2781210089521,10,537.931026367668
79,20240131,21,96.78748617542941,10,536.5675680666264
80,20240127,23,123.4443069888906,1,306.56008663444214
81,20240131,11,76.65892813838555,5,537.529838900176
82,20240129,9,92.50028433009471,10,277.6944926003079
83,20240127,5,80.3657333984832,1,221.6032930956177
84,20240128,21,191.95575221988565,10,223.3461126073099
85,20240129,11,145.85992208777927,1,325.9795572324729
86,20240202,16,77.71686904264755,5,715.3782113740386
87,20240130,21,142.69079004582537,10,447.2820921184609
88,20240131,11,181.53181111046015,10,537.529838900176
89,20240130,19,65.61050945112193,10,447.36347696692786
90,20240203,17,41.93176517691547,10,871.9132721649227
91,20240126,16,198.37018031852332,10,90.49326788455251
92,20240129,6,24.548901993754075,5,240.97034798420006
93,20240131,14,111.20664590176288,10,537.0112037783811
94,20240203,6,94.28482512743666,10,883.2968048163804
95,20240128,3,146.82750740848385,10,311.37295725654195
96,20240202,12,85.08713723407698,5,715.7498000949613
97,20240126,12,57.68970749042264,5,90.78318898996694
98,20240131,19,96.35719364831647,10,536.6782350248318
99,20240205,22,121.81082616503205,10,898.0470978825747
100,20240204,15,21.026858226183133,10,861.9364081460164
101,20240204,11,104.16319636709561,10,908.190402404902
102,20240126,10,134.92035785649205,10,91.17275161698328
103,20240130,5,74.13935003601476,10,450.43107869762287
104,20240129,15,175.68818555225613,5,327.1695712238877
105,20240128,12,93.32234398565421,5,278.38232930868156
106,20240203,12,122.43480474605062,10,888.3647775663443
107,20240126,6,6.064104221244425,10,92.4812103198516
108,20240203,19,14.454900154850765,1,914.9678466063068
109,20240131,17,24.99112486433436,1,536.7856441550811
110,20240130,17,37.710774373594234,10,447.4947835309765
111,20240203,14,120.78276277201118,10,895.8258424252396
112,20240130,2,92.24607876749624,1,464.0459241737075
113,20240127,16,175.9168011561712,5,327.5879829934867
114,20240203,11,97.6884800780788,10,905.281691886245
115,20240201,3,163.73928064153208,10,631.3776391192978
116,20240127,6,112.89706635970406,10,232.22906467074426
117,20240128,14,77.45713588417425,5,263.899080317087
118,20240203,3,55.34109118458967,10,854.7882144765067
119,20240129,10,105.88125131841868,1,240.84850197942458
120,20240203,1,52.26383684641065,10,873.4815622378544
121,20240126,7,109.46035686049073,10,91.80644931815588
122,20240130,17,35.578557034013016,5,447.4947835309765
123,20240203,21,192.6599072062456,10,907.3383130064055
124,20240202,19,61.631148680510115,5,715.2734996487336
125,20240130,5,14.722645254927816,5,450.4740819996701
126,20240127,13,112.47346850890655,10,275.6706742226047
127,20240130,17,152.46318587158845,1,447.4947835309765
128,20240203,18,80.00599320620114,10,895.4746379557898
129,20240205,6,16.714863275974892,10,854.8570762565046
130,20240129,6,31.098118918251977,10,235.07600695279802
131,20240127,5,66.9380544135071,10,254.62911911243026
132,20240129,12,101.72223070520857,1,241.82610963248936
133,20240204,23,58.3926821259304,10,875.3590687694609
134,20240126,9,73.08485288880539,10,91.3732248021671
135,20240128,8,15.565988829920284,10,258.282224864102
136,20240130,21,168.13239927047735,1,447.2820921184609
137,20240129,8,72.6671450868323,1,243.6606037123745
138,20240204,19,131.91121561600417,10,881.1761327762185
139,20240202,6,162.7841620045026,1,717.8369112453703
140,20240129,5,109.35333049420906,10,222.7669156653348
141,20240204,11,172.5408819722519,1,904.7887801537378
142,20240126,3,150.01644105569798,5,95.34911065527244
143,20240128,22,48.5968407389692,1,290.1803861278606
144,20240126,3,12.845415369206565,10,95.34911065527244
145,20240129,2,122.90212020061902,10,257.3002987972439
146,20240130,18,120.1967231272649,10,447.4399336476501
147,20240203,15,128.5534433917211,1,872.2562227225227
148,20240203,10,155.0020514903011,5,880.4967412541026
149,20240126,22,110.0439383057649,1,90.12231229638701
150,20240131,17,13.975713660837918,10,536.7856441550811
151,20240203,20,55.557972645401364,5,932.7055625358391
152,20240128,19,192.83946401642277,10,292.1977405802131
153,20240202,7,33.798148330157986,10,716.5050477292477
154,20240131,20,159.87768776315215,10,536.6222181068292
155,20240204,13,111.29107631227131,1,902.3679834148397
156,20240131,8,52.70282854026181,1,537.931026367668
157,20240126,19,178.16135255054263,10,90.29170434515424
158,20240129,13,76.57737025566674,10,284.18946954480157
159,20240129,22,121.97313760405005,10,292.2325585276322
160,20240126,13,194.42906059667587,1,90.6548641395989
161,20240128,16,183.69723388763097,10,318.18725713508644
162,20240202,1,131.6992408401345,1,728.9065790732468
163,20240131,22,164.59852895944488,10,536.5141286366401
164,20240126,12,59.40427581841621,5,90.78318898996694
165,20240130,23,171.57867214275183,10,447.2747484440172
166,20240128,2,90.50714511544318,10,242.39057041527704
167,20240205,17,34.02502416386122,1,899.5454801067332
168,20240130,7,3.412034154134761,5,448.9433522191536
169,20240202,2,152.29767480130488,10,724.4254712574491
170,20240204,8,3.4095865717426026,5,913.5152526816595
171,20240126,17,119.01582250317004,10,90.3402590337071
172,20240201,14,9.639094038109013,10,626.3681482523668
173,20240130,11,191.22784696210852,10,447.99883283479454
174,20240202,5,159.04526892413978,10,718.8914807625985
175,20240204,1,147.7641635323424,10,912.1446041117363
176,20240127,20,80.33394252669031,1,240.83662543233794
177,20240201,2,27.89809154180973,5,635.270452600269
178,20240204,6,159.12107746133788,10,900.4239970503241
179,20240204,7,31.268752361232302,10,879.6840492426118
180,20240126,17,112.57135878881802,1,90.3402590337071
181,20240128,14,56.103992988183975,10,259.5973179101619
182,20240127,12,193.60414693416107,10,304.0942950684573
183,20240202,15,114.80258197421011,10,715.501048658996
184,20240201,6,10.084100354974364,10,628.1199622615803
185,20240201,17,20.047196548512183,10,626.0954047549114
186,20240202,2,136.3653280624623,5,724.4254712574491
187,20240127,8,60.01058067624339,10,252.1724616936364
188,20240130,8,164.6620523599874,10,448.7035556762424
189,20240128,18,153.44689053052522,10,335.5720625857245
190,20240131,11,74.86331226408788,5,537.529838900176
191,20240129,12,140.82412084401776,10,245.43649294912805
