Date,Open,High,Low,Close
18-Aug-17,31729.88,31729.88,31349.13,31524.68
21-Aug-17,31609.93,31641.81,31220.53,31258.85
22-Aug-17,31393.93,31484.28,31241.5,31291.85
23-Aug-17,31407.47,31593.39,31379.25,31568.01
24-Aug-17,31673.44,31678.19,31546.05,31596.06
28-Aug-17,31756.87,31809.7,31701.67,31750.82
29-Aug-17,31724.84,31739.8,31360.81,31388.39
30-Aug-17,31534.57,31727.98,31533.02,31646.46
31-Aug-17,31685.44,31757.18,31551.85,31730.49
1-Sep-17,31769.34,31944.1,31707.27,31892.23
4-Sep-17,31932.2,31932.2,31560.32,31702.25
5-Sep-17,31755.16,31863.47,31674.23,31809.55
6-Sep-17,31713.5,31727.85,31586.53,31661.97
7-Sep-17,31738.74,31814.96,31620.44,31662.74
8-Sep-17,31694.15,31763.7,31619,31687.52
11-Sep-17,31798.31,31952.87,31797.89,31882.16
12-Sep-17,32029.15,32172.46,31950.24,32158.66
13-Sep-17,32188.95,32348.3,32126.77,32186.41
14-Sep-17,32289.26,32328.61,32186.84,32241.93
15-Sep-17,32207.63,32356.11,32138.38,32272.61
18-Sep-17,32361.37,32508.06,32361.25,32423.76
19-Sep-17,32522.44,32524.11,32358.63,32402.37
20-Sep-17,32467.1,32499.88,32383.82,32400.51
21-Sep-17,32406.42,32462.61,32164.42,32370.04
22-Sep-17,32339.5,32342.81,31886.09,31922.44
25-Sep-17,31986.4,32016.52,31474.56,31626.63
26-Sep-17,31685.81,31693.59,31455.65,31599.76
27-Sep-17,31785.24,31797.46,31100.8,31159.81
28-Sep-17,31216.36,31340.91,31081.83,31282.48
29-Sep-17,31367.25,31523.87,31243.71,31283.72
3-Oct-17,31537.81,31615.28,31440.48,31497.38
4-Oct-17,31522.17,31752.16,31457.78,31671.71
5-Oct-17,31725.85,31772.41,31562.25,31592.03
6-Oct-17,31633.34,31844.28,31632.81,31814.22
9-Oct-17,31862.2,31935.63,31781.75,31846.89
10-Oct-17,31910.82,31994.77,31896.9,31924.41
11-Oct-17,31975.59,32098.46,31769.4,31833.99
12-Oct-17,31887.47,32209.03,31813.67,32182.22
13-Oct-17,32247.74,32508.59,32247.74,32432.69
16-Oct-17,32488.23,32687.32,32445.43,32633.64
17-Oct-17,32654.41,32699.86,32556.74,32609.16
18-Oct-17,32518.56,32670.32,32462.85,32584.35
19-Oct-17,32656.75,32663.06,32319.37,32389.96
23-Oct-17,32411.86,32614.89,32312.74,32506.72
24-Oct-17,32619.26,32670.37,32502.08,32607.34
25-Oct-17,32995.28,33117.33,32804.6,33042.5
26-Oct-17,33025.17,33196.17,32835.06,33147.13
27-Oct-17,33228.32,33286.51,33109.41,33157.22
30-Oct-17,33260.1,33340.17,33206.93,33266.16
31-Oct-17,33254.93,33294.3,33164.28,33213.13
1-Nov-17,33344.23,33651.52,33340.62,33600.27
2-Nov-17,33615.84,33657.57,33527,33573.22
3-Nov-17,33667.34,33733.71,33531.94,33685.56
6-Nov-17,33710.15,33848.42,33582.38,33731.19
7-Nov-17,33781.01,33865.95,33341.82,33370.76
8-Nov-17,33417.35,33484.7,33157.68,33218.81
9-Nov-17,33376.62,33463.8,33111.54,33250.93
10-Nov-17,33235.75,33380.42,33108.09,33314.56
13-Nov-17,33397.41,33417.3,32999.98,33033.56
14-Nov-17,32990.03,33126.55,32907.11,32941.87
15-Nov-17,32944.94,32944.94,32683.59,32760.44
16-Nov-17,32829.82,33165.15,32829.82,33106.82
17-Nov-17,33388.47,33520.82,33278.91,33342.8
20-Nov-17,33365.84,33449.53,33288.21,33359.9
21-Nov-17,33438.28,33625.05,33437.61,33478.35
22-Nov-17,33569.07,33654.53,33465.23,33561.55
23-Nov-17,33575.91,33670.19,33468.3,33588.08
24-Nov-17,33670,33738.53,33639.98,33679.24
27-Nov-17,33640.51,33745.17,33540.46,33724.44
28-Nov-17,33726.65,33770.15,33576.65,33618.59
29-Nov-17,33664.27,33728.81,33553.12,33602.76
30-Nov-17,33542.5,33576.2,33108.72,33149.35
1-Dec-17,33247.66,33300.81,32797.78,32832.94
4-Dec-17,32968.02,33008.47,32785.76,32869.72
