DATE,USD_INR,returns,log_returns,SMA_7,SMA_30,EMA_12,EMA_26,MACD,MACD_signal,RSI_14,volatility_30,price_vs_sma7,price_vs_sma30
1973-03-27,7.55,-0.003958,-0.003966,7.578571,7.567,7.580778,7.611906,-0.031127,-0.045861,60.11236,0.021983,0.99623,0.997753
1973-03-28,7.55,0.0,0.0,7.571429,7.551667,7.576043,7.60732,-0.031277,-0.042944,58.72093,0.021983,0.99717,0.999779
1973-03-29,7.58,0.003974,0.003966,7.571429,7.551667,7.576652,7.605296,-0.028644,-0.040084,51.034483,0.019566,1.001132,1.003752
1973-03-30,7.55,-0.003958,-0.003966,7.567143,7.550667,7.572552,7.6012,-0.028649,-0.037797,51.034483,0.019579,0.997735,0.999912
1973-04-02,7.58,0.003974,0.003966,7.567143,7.550667,7.573698,7.59963,-0.025932,-0.035424,52.027027,0.019594,1.001699,1.003885
1973-04-03,7.55,-0.003958,-0.003966,7.562857,7.549667,7.570052,7.595954,-0.025902,-0.03352,32.110092,0.019607,0.9983,1.000044
1973-04-04,7.55,0.0,0.0,7.558571,7.548667,7.566967,7.59255,-0.025583,-0.031932,52.238806,0.019607,0.998866,1.000177
1973-04-05,7.55,0.0,0.0,7.558571,7.547667,7.564357,7.589398,-0.025041,-0.030554,15.789474,0.019607,0.998866,1.000309
1973-04-06,7.55,0.0,0.0,7.558571,7.546667,7.562148,7.58648,-0.024332,-0.02931,35.294118,0.019607,0.998866,1.000442
1973-04-09,7.55,0.0,0.0,7.554286,7.546667,7.560279,7.583777,-0.023498,-0.028147,40.0,0.019594,0.999433,1.000442
1973-04-10,7.55,0.0,0.0,7.554286,7.547667,7.558698,7.581275,-0.022578,-0.027033,40.0,0.019579,0.999433,1.000309
1973-04-11,7.52,-0.003974,-0.003981,7.545714,7.547667,7.552744,7.576736,-0.023992,-0.026425,33.333333,0.019594,0.996592,0.996334
1973-04-12,7.5,-0.00266,-0.002663,7.538571,7.546,7.54463,7.571052,-0.026423,-0.026425,30.0,0.019585,0.994883,0.993904
1973-04-13,7.52,0.002667,0.002663,7.534286,7.545,7.54084,7.567271,-0.02643,-0.026426,36.363636,0.019592,0.998104,0.996687
1973-04-16,7.52,0.0,0.0,7.53,7.544,7.537634,7.563769,-0.026135,-0.026368,42.105263,0.019592,0.998672,0.996819
1973-04-17,7.55,0.003989,0.003981,7.53,7.550667,7.539537,7.562749,-0.023212,-0.025737,50.0,0.01894,1.002656,0.999912
1973-04-18,7.55,0.0,0.0,7.53,7.562667,7.541146,7.561805,-0.020658,-0.024721,42.105263,0.018442,1.002656,0.998325
1973-04-19,7.55,0.0,0.0,7.53,7.572667,7.542508,7.56093,-0.018422,-0.023461,50.0,0.0184,1.002656,0.997007
1973-04-20,7.55,0.0,0.0,7.534286,7.572667,7.543661,7.560121,-0.01646,-0.022061,38.461538,0.016845,1.002086,0.997007
1973-04-23,7.55,0.0,0.0,7.541429,7.573667,7.544636,7.559371,-0.014735,-0.020596,50.0,0.016829,1.001137,0.996875
1973-04-24,7.56,0.001325,0.001324,7.547143,7.575,7.547,7.559418,-0.012418,-0.01896,54.545455,0.01683,1.001704,0.99802
1973-04-25,7.55,-0.001323,-0.001324,7.551429,7.562,7.547461,7.55872,-0.011259,-0.01742,50.0,0.013363,0.999811,0.998413
1973-04-26,7.56,0.001325,0.001324,7.552857,7.563333,7.54939,7.558815,-0.009424,-0.015821,53.846154,0.008926,1.000946,0.999559
1973-04-27,7.58,0.002646,0.002642,7.557143,7.555667,7.5541,7.560384,-0.006284,-0.013913,60.0,0.005436,1.003025,1.003221
1973-04-30,7.53,-0.006596,-0.006618,7.554286,7.553333,7.550392,7.558133,-0.007741,-0.012679,45.0,0.002523,0.996785,0.996911
1973-05-01,7.54,0.001328,0.001327,7.552857,7.552,7.548793,7.55679,-0.007997,-0.011743,55.555556,0.002501,0.998298,0.998411
1973-05-02,7.52,-0.002653,-0.002656,7.548571,7.55,7.544363,7.554065,-0.009701,-0.011334,55.555556,0.002541,0.996215,0.996026
1973-05-03,7.55,0.003989,0.003981,7.547143,7.549,7.545231,7.553764,-0.008533,-0.010774,57.894737,0.002657,1.000379,1.000132
1973-05-04,7.55,0.0,0.0,7.547143,7.548,7.545964,7.553485,-0.007521,-0.010123,57.894737,0.002657,1.000379,1.000265
1973-05-07,7.55,0.0,0.0,7.545714,7.547,7.546585,7.553227,-0.006642,-0.009427,50.0,0.002657,1.000568,1.000398
