"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"RT @dna: Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end: Deutsche Bank report https://t.co/U2wEZOXGxG"	FALSE	0	NA	2016-11-27 12:57:15	FALSE	NA	"802858826785587200"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"Cure_Politics"	140	TRUE	FALSE	NA	NA
"New post: The week that was: After strong volatility, rupee trend, FII flows to move market https://t.co/4GwJGAipxV"	FALSE	0	NA	2016-11-27 12:57:13	FALSE	NA	"802858817134460928"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"RT @IndiaExplained: If Modi really wanted to leave his mark on this demonetisation exercise, he should have introduced a 2002 rupee note"	FALSE	0	NA	2016-11-27 12:56:57	FALSE	NA	"802858753032798213"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"NevilleLobo2"	134	TRUE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:56:53	FALSE	NA	"802858734603137024"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"pshilpa48"	1332	TRUE	FALSE	NA	NA
"RT @meerasanyal: The mystery of the missing 500 notes explained - if true the nation has a long wait... https://t.co/8DO9lCUC0j"	FALSE	0	NA	2016-11-27 12:56:43	FALSE	NA	"802858694425743360"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"drabhijitmore"	173	TRUE	FALSE	NA	NA
"RT @navinkhaitan: Today In Kolkata - Went to draw Rs 24k from Savings A/c. Bank Says No CASH. Gave me only Rs 2000 in 10 Rupee Coins. #DeMo…"	FALSE	0	NA	2016-11-27 12:56:43	FALSE	NA	"802858693637193730"	NA	"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"	"kini_nagesh"	133	TRUE	FALSE	NA	NA
"RT @MIB_India: More #DemonetizationMythsBusted (4/5)

Myth: Fake 10 rupee coins circulating

Reality : clarified to be multiple designs htt…"	FALSE	0	NA	2016-11-27 12:56:40	FALSE	NA	"802858681079500800"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"drnkagrawal"	192	TRUE	FALSE	NA	NA
"Rupee is expected to see further depreciation in the coming months and may breach the 70level by December and touch 72.50 by the end of 17."	FALSE	0	"masumpahonchiya"	2016-11-27 12:56:39	FALSE	"802785541187977216"	"802858675274661888"	"206136250"	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"masumpahonchiya"	0	FALSE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:56:38	FALSE	NA	"802858673739599872"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"Suyog_SS"	1332	TRUE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:56:06	FALSE	NA	"802858537038716928"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"views2015"	1332	TRUE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:55:26	FALSE	NA	"802858371669835776"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"shreekheteshwar"	1332	TRUE	FALSE	NA	NA
"RT @dna: Irregular by @MANJULtoons | On #DeMonetisation and the #Rupee https://t.co/e6yIRXM17I"	FALSE	0	NA	2016-11-27 12:55:24	FALSE	NA	"802858361695793152"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"astro_rat"	21	TRUE	FALSE	NA	NA
"You know beside long Ques.outside every bank's ATM no cash bt d moot point how much can u withdraw 2000 &amp; no 100 rupee notes need it daily"	FALSE	0	NA	2016-11-27 12:55:17	FALSE	NA	"802858333786894336"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"AnoopSi87795657"	0	FALSE	FALSE	NA	NA
"@ndtv 2 types of 500 rupee notes.That is counterfeit by govt.������������������������"	FALSE	0	"ndtv"	2016-11-27 12:55:11	FALSE	"802848839229001728"	"802858306406469632"	"37034483"	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"anahita_ramirez"	0	FALSE	FALSE	NA	NA
