"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"RT @MIB_India: More #DemonetizationMythsBusted (4/5)

Myth: Fake 10 rupee coins circulating

Reality : clarified to be multiple designs htt…"	FALSE	0	NA	2016-11-26 18:55:54	FALSE	NA	"802586697305387010"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"Amit_Sinha_In"	129	TRUE	FALSE	NA	NA
"RT @vidyarthee: #ModiGovt's flip-flops on rules for currency exchange is detrimental for the institutional credibility of #Rupee in the lon…"	FALSE	0	NA	2016-11-26 18:55:54	FALSE	NA	"802586696730677249"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"incsantoshmishr"	51	TRUE	FALSE	NA	NA
"RT @i_me_my5elf: Time for Manmohan Singh to listen to some eminent Economist on Falling Rupee &amp; Economy &amp; have fun ������������ @narendramodi #RupeeI…"	FALSE	0	NA	2016-11-26 18:55:31	FALSE	NA	"802586598663565312"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"geetv79"	485	TRUE	FALSE	NA	NA
"RT @VedankSingh: Dr. BR Ambedkar in his book \"Problem of the Rupee\", said that notes should be changed every 10 years to avoid corruption,…"	FALSE	0	NA	2016-11-26 18:54:58	FALSE	NA	"802586463154171912"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Korra_aang_me"	467	TRUE	FALSE	NA	NA
"RT @i_me_my5elf: Time for Manmohan Singh to listen to some eminent Economist on Falling Rupee &amp; Economy &amp; have fun ������������ @narendramodi #RupeeI…"	FALSE	0	NA	2016-11-26 18:54:58	FALSE	NA	"802586461073653760"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"priyapyadav18"	485	TRUE	FALSE	NA	NA
"RT @ShirishKunder: Rupee hits all-time low. Which is perfectly normal, as it's in direct proportion to the education of the government."	FALSE	0	NA	2016-11-26 18:54:04	FALSE	NA	"802586235780771841"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"mminaal"	470	TRUE	FALSE	NA	NA
"RT @ShirishKunder: Bold &amp; radical move! Rupee hits all-time low of 68.86 against US dollar to stop people from converting black money to do…"	FALSE	0	NA	2016-11-26 18:53:59	FALSE	NA	"802586214813442048"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"mminaal"	999	TRUE	FALSE	NA	NA
"RT @VedankSingh: Dr. BR Ambedkar in his book \"Problem of the Rupee\", said that notes should be changed every 10 years to avoid corruption,…"	FALSE	0	NA	2016-11-26 18:53:54	FALSE	NA	"802586191937896448"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"RakeshMisra1"	467	TRUE	FALSE	NA	NA
"RT @MisaBharti: Amazing logic. Have 1 lakh rupee note as well https://t.co/6Tgkz1jdly"	FALSE	0	NA	2016-11-26 18:53:53	FALSE	NA	"802586188255113216"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"goeltm_tg"	3	TRUE	FALSE	NA	NA
"@peace_moin usko rupee value yaad dilao https://t.co/UMmpNcSDbP"	FALSE	0	"peace_moin"	2016-11-26 18:53:41	FALSE	NA	"802586138271744000"	"173395044"	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Mohamme93502502"	0	FALSE	FALSE	NA	NA
"RT @VedankSingh: Dr. BR Ambedkar in his book \"Problem of the Rupee\", said that notes should be changed every 10 years to avoid corruption,…"	FALSE	0	NA	2016-11-26 18:53:07	FALSE	NA	"802585995182911488"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"A__mrit"	467	TRUE	FALSE	NA	NA
