"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"RT @meerasanyal: This is Gov Subbarao's response https://t.co/8DO9lCD0BJ https://t.co/uLZG6ecIOx"	FALSE	0	NA	2016-11-27 07:10:35	FALSE	NA	"802771587040579584"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"aashupi"	5	TRUE	FALSE	NA	NA
"RT @Narendramodi_PM: The highlights of the responses to the question :- What do you think of the government’s move to demonetize old 500 an…"	FALSE	0	NA	2016-11-27 07:10:35	FALSE	NA	"802771585769832448"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Vikasdi0143"	40	TRUE	FALSE	NA	NA
"RT @dna: Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end: Deutsche Bank report https://t.co/U2wEZOXGxG"	FALSE	0	NA	2016-11-27 07:10:28	FALSE	NA	"802771556472455168"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"jvsk3"	18	TRUE	FALSE	NA	NA
"RT @meerasanyal: This is Gov Subbarao's response https://t.co/8DO9lCD0BJ https://t.co/uLZG6ecIOx"	FALSE	0	NA	2016-11-27 07:10:25	FALSE	NA	"802771545034588161"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"rajjat"	5	TRUE	FALSE	NA	NA
"RT @meerasanyal: This is Gov Subbarao's response https://t.co/8DO9lCD0BJ https://t.co/uLZG6ecIOx"	FALSE	0	NA	2016-11-27 07:10:07	FALSE	NA	"802771468064997376"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"Rtaunk"	5	TRUE	FALSE	NA	NA
"RT @meerasanyal: This is Gov Subbarao's response https://t.co/8DO9lCD0BJ https://t.co/uLZG6ecIOx"	FALSE	0	NA	2016-11-27 07:09:48	FALSE	NA	"802771387265843200"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"rachitattweet"	5	TRUE	FALSE	NA	NA
"RT @meerasanyal: This is Gov Subbarao's response https://t.co/8DO9lCD0BJ https://t.co/uLZG6ecIOx"	FALSE	0	NA	2016-11-27 07:09:35	FALSE	NA	"802771334719684608"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sangha79839513"	5	TRUE	FALSE	NA	NA
"RT @business: India has more than its cash crisis to worry about https://t.co/Q7Sbp4UtIk https://t.co/f5mU0yFuRx"	FALSE	0	NA	2016-11-27 07:09:11	FALSE	NA	"802771232852770817"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"iamboyprince"	19	TRUE	FALSE	NA	NA
"This is Gov Subbarao's response https://t.co/8DO9lCD0BJ https://t.co/uLZG6ecIOx"	FALSE	2	NA	2016-11-27 07:09:07	FALSE	NA	"802771218076078080"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"meerasanyal"	5	FALSE	FALSE	NA	NA
"@sojusha untung w rupee hehee"	FALSE	0	"sojusha"	2016-11-27 07:08:43	FALSE	"802770846561366016"	"802771117580505088"	"1464012890"	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"manobansha"	0	FALSE	FALSE	NA	NA
"RT @Bhayankur: Even beggars in Kurukshetra refuse to take a perfectly legitimate 10 rupee coin. All the Central govt's claims can go jump."	FALSE	0	NA	2016-11-27 07:08:36	FALSE	NA	"802771087184437248"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"pri1us"	3	TRUE	FALSE	NA	NA
"RT @ndb143: Rupee breaches new low of 68 against dollar. Good morning India!! https://t.co/TuzEpj1hSz"	FALSE	0	NA	2016-11-27 07:08:34	FALSE	NA	"802771078531731456"	NA	"<a href=\"http://www.tweetcaster.com\" rel=\"nofollow\">TweetCaster for Android</a>"	"Harish_HopeAK"	79	TRUE	FALSE	NA	NA
"RT @chetan_bhagat: Rupee at 62. Because nobody wants to invest in India right now. We hate business, and now business hates us. Bring on th…"	FALSE	0	NA	2016-11-27 07:08:19	FALSE	NA	"802771016955076608"	NA	"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M2)</a>"	"Ashar091194"	1672	TRUE	FALSE	NA	NA
"RT @MIB_India: More #DemonetizationMythsBusted (4/5)

Myth: Fake 10 rupee coins circulating

Reality : clarified to be multiple designs htt…"	FALSE	0	NA	2016-11-27 07:08:18	FALSE	NA	"802771011745808384"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"CMPFOIndia"	183	TRUE	FALSE	NA	NA
"RT @babumoshoy: \"Congrats! It's twins!\"  ~ RBI, after new 500 rupee note was printed. #DeMonetisation"	FALSE	0	NA	2016-11-27 07:08:18	FALSE	NA	"802771010676260864"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"IshranAghai"	11	TRUE	FALSE	NA	NA
"Its a new beginning for #India!
Start Now, #Save #Insure #Invest for a #Happy #Future!

https://t.co/B9XDmjfUk9… https://t.co/xftHpFuT5X"	FALSE	0	NA	2016-11-27 07:08:00	TRUE	NA	"802770935874928640"	NA	"<a href=\"http://bufferapp.com\" rel=\"nofollow\">Buffer</a>"	"AnmolShare"	0	FALSE	FALSE	NA	NA
"RT @dna: Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end: Deutsche Bank report https://t.co/U2wEZOXGxG"	FALSE	0	NA	2016-11-27 07:07:35	FALSE	NA	"802770832279814144"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Ula_la_le_lo"	18	TRUE	FALSE	NA	NA
"72.5245 INR = 1 EUR 2016-11-24 ECB Reference rate – Indian Rupee https://t.co/maxcracliF"	FALSE	0	NA	2016-11-27 07:07:23	FALSE	NA	"802770781742755840"	NA	"<a href=\"http://publicize.wp.com/\" rel=\"nofollow\">WordPress.com</a>"	"bankinformer"	0	FALSE	FALSE	NA	NA
"RT @annatarajgowda: Govt of India : Remove #Devanagari Numerals and 
#HindiImposition from Rupee Notes https://t.co/BUyUoOGnyN"	FALSE	0	NA	2016-11-27 07:06:20	FALSE	NA	"802770518285766656"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"ChandrahasKp"	3	TRUE	FALSE	NA	NA
"RT @annatarajgowda: Govt of India : Remove #Devanagari Numerals and 
#HindiImposition from Rupee Notes https://t.co/0OzVhgJt21"	FALSE	0	NA	2016-11-27 07:06:17	FALSE	NA	"802770504998211584"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"ChandrahasKp"	3	TRUE	FALSE	NA	NA
"RT @annatarajgowda: The rupee touched 68.86 per dollar despite RBI intervention that earlier helped a recovery in the currency https://t.co…"	FALSE	0	NA	2016-11-27 07:06:09	FALSE	NA	"802770470177161216"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"ChandrahasKp"	3	TRUE	FALSE	NA	NA
"Got the new Rs.500 note
I m not getting the feel of a 500 rupee note������ https://t.co/e211JvcF6N"	FALSE	0	NA	2016-11-27 07:06:00	FALSE	NA	"802770432621322241"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"ShantanuNivekar"	0	FALSE	FALSE	NA	NA
"RT @TheQuint: The new Rs 500 note is missing from circulation. | @DikshitAshish
https://t.co/T7uYsAOtNg"	FALSE	0	NA	2016-11-27 07:05:36	FALSE	NA	"802770330699890690"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"abid_hussain"	18	TRUE	FALSE	NA	NA
"I never advocated #RBI or #PiSsU banks to switch to Euro (€) from US Dollar ($) as their Forex Reserves.

Get off my back, &amp; save Rupee (₹)"	FALSE	0	NA	2016-11-27 07:05:23	FALSE	NA	"802770278770016256"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"indiapharaoh"	0	FALSE	FALSE	NA	NA
"Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end: Deutsche Bank report: The rupee is… https://t.co/LcuqH9skXB #til_now #news #DNA"	FALSE	0	NA	2016-11-27 07:05:11	FALSE	NA	"802770225510785024"	NA	"<a href=\"http://dlvr.it\" rel=\"nofollow\">dlvr.it</a>"	"news_in"	0	FALSE	FALSE	NA	NA
"@sureshpprabhu counters at BRC not issuing tkt for unavailability of 2000 rupee change. Kindly look at option of card payments at counters"	FALSE	0	"sureshpprabhu"	2016-11-27 07:04:52	FALSE	NA	"802770147123531776"	"141208596"	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"vinpandey3"	0	FALSE	FALSE	NA	NA
"RT @annatarajgowda: Govt of India : Remove #Devanagari Numerals and 
#HindiImposition from Rupee Notes https://t.co/BUyUoOGnyN"	FALSE	0	NA	2016-11-27 07:04:19	FALSE	NA	"802770009139183616"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Chandukp3"	3	TRUE	FALSE	NA	NA
"RT @annatarajgowda: Govt of India : Remove #Devanagari Numerals and 
#HindiImposition from Rupee Notes https://t.co/0OzVhgJt21"	FALSE	0	NA	2016-11-27 07:04:17	FALSE	NA	"802769999387496449"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Chandukp3"	3	TRUE	FALSE	NA	NA
"@dna God Says:Rupee-50Rs a USDollar soon @narendramodi @rvaidya2000"	FALSE	0	"dna"	2016-11-27 07:04:15	FALSE	"802766181669027844"	"802769991451840512"	"17710740"	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"junejamkanju"	0	FALSE	FALSE	NA	NA
"RT @annatarajgowda: The rupee touched 68.86 per dollar despite RBI intervention that earlier helped a recovery in the currency https://t.co…"	FALSE	0	NA	2016-11-27 07:04:11	FALSE	NA	"802769975534465024"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Chandukp3"	3	TRUE	FALSE	NA	NA
"There is competition between #PM Garima and Rupee value.. kon kitnA girta hai.������������������ https://t.co/lJxTbg6ZEl"	FALSE	0	NA	2016-11-27 07:04:11	FALSE	NA	"802769973789630465"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"bhau_rokthok"	0	FALSE	FALSE	NA	NA
"If one rupee was increased in congress govt, BJP opposed...Now what is happening https://t.co/A21vVxfk74"	FALSE	0	NA	2016-11-27 07:04:02	FALSE	NA	"802769935604715520"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"DrVikrantJawla"	0	FALSE	FALSE	NA	NA
"Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end: Deutsche Bank report https://t.co/Jh161tTPGE"	FALSE	0	NA	2016-11-27 07:03:47	FALSE	NA	"802769876024631296"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"Puneetvizh"	0	FALSE	FALSE	NA	NA
"RT @IndiaExplained: If Modi really wanted to leave his mark on this demonetisation exercise, he should have introduced a 2002 rupee note"	FALSE	0	NA	2016-11-27 07:03:33	FALSE	NA	"802769814708101121"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"shreya7376"	103	TRUE	FALSE	NA	NA
"Promissory line on Note: \"I Promise To Pay The Bearer The Sum Of 500 Rupee's\" no longer holds good. BJP Sarkar can make it redundant anytime"	FALSE	0	NA	2016-11-27 07:03:31	FALSE	NA	"802769805765808132"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"Narenpurohit"	0	FALSE	FALSE	NA	NA
